LOT_ID,WAFER_NO,PRODUCT,LINE,TOTAL_DIE,GOOD_DIE,YIELD_PCT,MAIN_FAIL_TYPE,TEST_DATE
L26000,23,D1Z-DDR5-16G,P2,1200,1097,91.44,OPEN,2026-03-10
L26000,24,D1Z-DDR5-16G,P2,1200,1075,89.66,BRIDGE,2026-03-11
L26000,25,D1Z-DDR5-16G,P2,1200,1089,90.81,PARTICLE,2026-03-13
L26001,1,V8-NAND-1Tb,P3,1200,1149,95.81,BRIDGE,2026-03-14
L26001,2,V8-NAND-1Tb,P3,1200,1103,91.98,ETC,2026-03-09
L26001,3,V8-NAND-1Tb,P3,1200,1130,94.18,BRIDGE,2026-03-06
L26001,4,V8-NAND-1Tb,P3,1200,1116,93.04,PARTICLE,2026-03-12
L26001,5,V8-NAND-1Tb,P3,1200,1152,96.06,PARTICLE,2026-03-07
L26001,6,V8-NAND-1Tb,P3,1200,1133,94.42,SCRATCH,2026-03-05
L26001,7,V8-NAND-1Tb,P3,1200,1142,95.17,THIN_FILM,2026-03-08
L26001,8,V8-NAND-1Tb,P3,1200,1165,97.13,BRIDGE,2026-03-07
L26001,9,V8-NAND-1Tb,P3,1200,1148,95.73,ETC,2026-03-07
L26001,10,V8-NAND-1Tb,P3,1200,1114,92.91,PARTICLE,2026-03-08
L26001,11,V8-NAND-1Tb,P3,1200,1167,97.32,OPEN,2026-03-13
L26001,12,V8-NAND-1Tb,P3,1200,1112,92.7,BRIDGE,2026-03-13
L26001,13,V8-NAND-1Tb,P3,1200,1134,94.55,MISALIGN,2026-03-11
L26001,14,V8-NAND-1Tb,P3,1200,1141,95.15,OPEN,2026-03-12
L26001,15,V8-NAND-1Tb,P3,1200,1152,96.04,BRIDGE,2026-03-12
L26001,16,V8-NAND-1Tb,P3,1200,1186,98.88,MISALIGN,2026-03-09
L26001,17,V8-NAND-1Tb,P3,1200,1148,95.72,SCRATCH,2026-03-14
L26001,18,V8-NAND-1Tb,P3,1200,1167,97.29,BRIDGE,2026-03-08
L26001,19,V8-NAND-1Tb,P3,1200,1087,90.63,PARTICLE,2026-03-06
L26001,20,V8-NAND-1Tb,P3,1200,1187,98.95,MISALIGN,2026-03-13
L26001,21,V8-NAND-1Tb,P3,1200,1149,95.8,BRIDGE,2026-03-13
L26001,22,V8-NAND-1Tb,P3,1200,1119,93.29,ETC,2026-03-07
L26001,23,V8-NAND-1Tb,P3,1200,1184,98.75,MISALIGN,2026-03-10
L26001,24,V8-NAND-1Tb,P3,1200,1058,88.24,BRIDGE,2026-03-09
L26001,25,V8-NAND-1Tb,P3,1200,1146,95.51,SCRATCH,2026-03-11
L26002,1,D1B-DDR5-24G,P2,1200,1088,90.71,BRIDGE,2026-03-07
L26002,2,D1B-DDR5-24G,P2,1200,1101,91.77,SCRATCH,2026-03-06
L26002,3,D1B-DDR5-24G,P2,1200,1093,91.15,MISALIGN,2026-03-05
L26002,4,D1B-DDR5-24G,P2,1200,1092,91.03,PARTICLE,2026-03-09
L26002,5,D1B-DDR5-24G,P2,1200,1064,88.67,ETC,2026-03-10
L26002,6,D1B-DDR5-24G,P2,1200,1070,89.17,BRIDGE,2026-03-10
L26002,7,D1B-DDR5-24G,P2,1200,1090,90.9,BRIDGE,2026-03-05
L26002,8,D1B-DDR5-24G,P2,1200,1119,93.29,PARTICLE,2026-03-12
L26002,9,D1B-DDR5-24G,P2,1200,1057,88.08,BRIDGE,2026-03-05
L26002,10,D1B-DDR5-24G,P2,1200,1109,92.44,PARTICLE,2026-03-11
L26002,11,D1B-DDR5-24G,P2,1200,1066,88.84,EDGE_CHIP,2026-03-05
L26002,12,D1B-DDR5-24G,P2,1200,1065,88.75,PARTICLE,2026-03-05
L26002,13,D1B-DDR5-24G,P2,1200,1077,89.76,BRIDGE,2026-03-11
L26002,14,D1B-DDR5-24G,P2,1200,1077,89.78,SCRATCH,2026-03-08
L26002,15,D1B-DDR5-24G,P2,1200,1085,90.5,OPEN,2026-03-10
L26002,16,D1B-DDR5-24G,P2,1200,1093,91.09,EDGE_CHIP,2026-03-11
L26002,17,D1B-DDR5-24G,P2,1200,1070,89.24,MISALIGN,2026-03-07
L26002,18,D1B-DDR5-24G,P2,1200,1083,90.29,SCRATCH,2026-03-06
L26002,19,D1B-DDR5-24G,P2,1200,1065,88.83,PARTICLE,2026-03-07
L26002,20,D1B-DDR5-24G,P2,1200,1076,89.68,BRIDGE,2026-03-10
L26002,21,D1B-DDR5-24G,P2,1200,1097,91.45,OPEN,2026-03-11
L26002,22,D1B-DDR5-24G,P2,1200,1080,90.0,OPEN,2026-03-09
L26002,23,D1B-DDR5-24G,P2,1200,1064,88.73,THIN_FILM,2026-03-13
L26002,24,D1B-DDR5-24G,P2,1200,1078,89.84,PARTICLE,2026-03-14
L26002,25,D1B-DDR5-24G,P2,1200,1079,89.99,OPEN,2026-03-08
L26003,1,LSI-ISOCELL-HP2,P3,1200,1041,86.77,SCRATCH,2026-03-12
L26003,2,LSI-ISOCELL-HP2,P3,1200,1018,84.91,THIN_FILM,2026-03-06
L26003,3,LSI-ISOCELL-HP2,P3,1200,1051,87.61,ETC,2026-03-06
L26003,4,LSI-ISOCELL-HP2,P3,1200,1062,88.55,PARTICLE,2026-03-14
L26003,5,LSI-ISOCELL-HP2,P3,1200,1050,87.57,SCRATCH,2026-03-12
L26003,6,LSI-ISOCELL-HP2,P3,1200,1047,87.31,MISALIGN,2026-03-11
L26003,7,LSI-ISOCELL-HP2,P3,1200,1051,87.65,SCRATCH,2026-03-08
L26003,8,LSI-ISOCELL-HP2,P3,1200,1095,91.27,EDGE_CHIP,2026-03-08
L26003,9,LSI-ISOCELL-HP2,P3,1200,1030,85.87,THIN_FILM,2026-03-05
L26003,10,LSI-ISOCELL-HP2,P3,1200,1056,88.01,THIN_FILM,2026-03-10
L26003,11,LSI-ISOCELL-HP2,P3,1200,1025,85.45,OPEN,2026-03-11
L26003,12,LSI-ISOCELL-HP2,P3,1200,1027,85.61,OPEN,2026-03-11
L26003,13,LSI-ISOCELL-HP2,P3,1200,978,81.53,PARTICLE,2026-03-11
L26003,14,LSI-ISOCELL-HP2,P3,1200,1064,88.74,OPEN,2026-03-07
L26003,15,LSI-ISOCELL-HP2,P3,1200,1012,84.35,PARTICLE,2026-03-06
L26003,16,LSI-ISOCELL-HP2,P3,1200,1064,88.74,THIN_FILM,2026-03-11
L26003,17,LSI-ISOCELL-HP2,P3,1200,1082,90.21,BRIDGE,2026-03-09
L26003,18,LSI-ISOCELL-HP2,P3,1200,990,82.57,MISALIGN,2026-03-10
L26003,19,LSI-ISOCELL-HP2,P3,1200,1080,90.04,ETC,2026-03-06
L26003,20,LSI-ISOCELL-HP2,P3,1200,1033,86.1,OPEN,2026-03-12
L26003,21,LSI-ISOCELL-HP2,P3,1200,1063,88.6,PARTICLE,2026-03-08
L26003,22,LSI-ISOCELL-HP2,P3,1200,1076,89.69,MISALIGN,2026-03-08
L26003,23,LSI-ISOCELL-HP2,P3,1200,972,81.05,PARTICLE,2026-03-09
L26003,24,LSI-ISOCELL-HP2,P3,1200,1078,89.85,THIN_FILM,2026-03-14
L26003,25,LSI-ISOCELL-HP2,P3,1200,1058,88.17,BRIDGE,2026-03-10
L26004,1,V8-NAND-1Tb,H1,1200,1129,94.1,PARTICLE,2026-03-12
L26004,2,V8-NAND-1Tb,H1,1200,1132,94.4,THIN_FILM,2026-03-07
L26004,3,V8-NAND-1Tb,H1,1200,1147,95.63,PARTICLE,2026-03-14
L26004,4,V8-NAND-1Tb,H1,1200,1137,94.82,PARTICLE,2026-03-09
L26004,5,V8-NAND-1Tb,H1,1200,1126,93.88,BRIDGE,2026-03-07
L26004,6,V8-NAND-1Tb,H1,1200,1140,95.02,PARTICLE,2026-03-12
L26004,7,V8-NAND-1Tb,H1,1200,1096,91.41,OPEN,2026-03-12
L26004,8,V8-NAND-1Tb,H1,1200,1071,89.33,BRIDGE,2026-03-12
L26004,9,V8-NAND-1Tb,H1,1200,1146,95.57,BRIDGE,2026-03-12
L26004,10,V8-NAND-1Tb,H1,1200,1104,92.06,OPEN,2026-03-11
L26004,11,V8-NAND-1Tb,H1,1200,1133,94.45,BRIDGE,2026-03-13
L26004,12,V8-NAND-1Tb,H1,1200,1159,96.62,OPEN,2026-03-05
L26004,13,V8-NAND-1Tb,H1,1200,1124,93.71,BRIDGE,2026-03-11
L26004,14,V8-NAND-1Tb,H1,1200,1124,93.72,PARTICLE,2026-03-13
L26004,15,V8-NAND-1Tb,H1,1200,1129,94.11,OPEN,2026-03-06
L26004,16,V8-NAND-1Tb,H1,1200,1128,94.0,PARTICLE,2026-03-05
L26004,17,V8-NAND-1Tb,H1,1200,1121,93.44,EDGE_CHIP,2026-03-13
L26004,18,V8-NAND-1Tb,H1,1200,1115,92.95,BRIDGE,2026-03-12
L26004,19,V8-NAND-1Tb,H1,1200,1139,94.97,ETC,2026-03-06
L26004,20,V8-NAND-1Tb,H1,1200,1122,93.54,SCRATCH,2026-03-11
L26004,21,V8-NAND-1Tb,H1,1200,1177,98.13,PARTICLE,2026-03-09
L26004,22,V8-NAND-1Tb,H1,1200,1176,98.05,EDGE_CHIP,2026-03-12
L26004,23,V8-NAND-1Tb,H1,1200,1151,96.0,MISALIGN,2026-03-14
L26004,24,V8-NAND-1Tb,H1,1200,1120,93.38,PARTICLE,2026-03-07
L26004,25,V8-NAND-1Tb,H1,1200,1097,91.49,MISALIGN,2026-03-07
L26005,1,D1B-DDR5-24G,P2,1200,1062,88.5,PARTICLE,2026-03-09
L26005,2,D1B-DDR5-24G,P2,1200,1120,93.36,BRIDGE,2026-03-05
L26005,3,D1B-DDR5-24G,P2,1200,1153,96.16,MISALIGN,2026-03-07
L26005,4,D1B-DDR5-24G,P2,1200,1163,96.93,THIN_FILM,2026-03-07
L26005,5,D1B-DDR5-24G,P2,1200,1126,93.91,PARTICLE,2026-03-13
L26005,6,D1B-DDR5-24G,P2,1200,1113,92.81,BRIDGE,2026-03-13
L26005,7,D1B-DDR5-24G,P2,1200,1129,94.1,OPEN,2026-03-06
L26005,8,D1B-DDR5-24G,P2,1200,1055,87.96,PARTICLE,2026-03-14
L26005,9,D1B-DDR5-24G,P2,1200,1142,95.17,EDGE_CHIP,2026-03-06
L26005,10,D1B-DDR5-24G,P2,1200,1189,99.12,PARTICLE,2026-03-05
L26005,11,D1B-DDR5-24G,P2,1200,1110,92.58,OPEN,2026-03-09
L26005,12,D1B-DDR5-24G,P2,1200,1109,92.44,PARTICLE,2026-03-12
L26005,13,D1B-DDR5-24G,P2,1200,1150,95.89,ETC,2026-03-08
L26005,14,D1B-DDR5-24G,P2,1200,1121,93.42,THIN_FILM,2026-03-07
L26005,15,D1B-DDR5-24G,P2,1200,1114,92.87,PARTICLE,2026-03-05
L26005,16,D1B-DDR5-24G,P2,1200,1101,91.76,OPEN,2026-03-07
L26005,17,D1B-DDR5-24G,P2,1200,1091,90.95,OPEN,2026-03-11
L26005,18,D1B-DDR5-24G,P2,1200,1150,95.9,BRIDGE,2026-03-12
L26005,19,D1B-DDR5-24G,P2,1200,1128,94.0,OPEN,2026-03-06
L26005,20,D1B-DDR5-24G,P2,1200,1135,94.63,PARTICLE,2026-03-11
L26005,21,D1B-DDR5-24G,P2,1200,1110,92.52,EDGE_CHIP,2026-03-11
L26005,22,D1B-DDR5-24G,P2,1200,1119,93.31,PARTICLE,2026-03-12
L26005,23,D1B-DDR5-24G,P2,1200,1142,95.24,PARTICLE,2026-03-08
L26005,24,D1B-DDR5-24G,P2,1200,1120,93.41,EDGE_CHIP,2026-03-07
L26005,25,D1B-DDR5-24G,P2,1200,1103,91.92,THIN_FILM,2026-03-05
L26006,1,V9-NAND-2Tb,P3,1200,1166,97.24,THIN_FILM,2026-03-07
L26006,2,V9-NAND-2Tb,P3,1200,1191,99.32,OPEN,2026-03-10
L26006,3,V9-NAND-2Tb,P3,1200,1184,98.72,BRIDGE,2026-03-06
L26006,4,V9-NAND-2Tb,P3,1200,1186,98.89,MISALIGN,2026-03-13
L26006,5,V9-NAND-2Tb,P3,1200,1194,99.56,PARTICLE,2026-03-10
L26006,6,V9-NAND-2Tb,P3,1200,1197,99.8,EDGE_CHIP,2026-03-10
L26006,7,V9-NAND-2Tb,P3,1200,1188,99.03,BRIDGE,2026-03-07
L26006,8,V9-NAND-2Tb,P3,1200,1197,99.8,PARTICLE,2026-03-06
L26006,9,V9-NAND-2Tb,P3,1200,1185,98.78,PARTICLE,2026-03-08
L26006,10,V9-NAND-2Tb,P3,1200,1162,96.91,PARTICLE,2026-03-08
L26006,11,V9-NAND-2Tb,P3,1200,1185,98.83,PARTICLE,2026-03-11
L26006,12,V9-NAND-2Tb,P3,1200,1197,99.8,BRIDGE,2026-03-06
L26006,13,V9-NAND-2Tb,P3,1200,1178,98.23,PARTICLE,2026-03-07
L26006,14,V9-NAND-2Tb,P3,1200,1197,99.8,ETC,2026-03-05
L26006,15,V9-NAND-2Tb,P3,1200,1181,98.45,PARTICLE,2026-03-05
L26006,16,V9-NAND-2Tb,P3,1200,1168,97.34,MISALIGN,2026-03-10
L26006,17,V9-NAND-2Tb,P3,1200,1149,95.77,THIN_FILM,2026-03-11
L26006,18,V9-NAND-2Tb,P3,1200,1183,98.64,SCRATCH,2026-03-07
L26006,19,V9-NAND-2Tb,P3,1200,1197,99.8,BRIDGE,2026-03-10
L26006,20,V9-NAND-2Tb,P3,1200,1194,99.54,PARTICLE,2026-03-07
L26006,21,V9-NAND-2Tb,P3,1200,1165,97.12,SCRATCH,2026-03-07
L26006,22,V9-NAND-2Tb,P3,1200,1197,99.8,PARTICLE,2026-03-12
L26006,23,V9-NAND-2Tb,P3,1200,1179,98.27,MISALIGN,2026-03-11
L26006,24,V9-NAND-2Tb,P3,1200,1184,98.71,BRIDGE,2026-03-11
L26006,25,V9-NAND-2Tb,P3,1200,1197,99.8,EDGE_CHIP,2026-03-05
L26007,1,D1B-DDR5-24G,P3,1200,1101,91.79,PARTICLE,2026-03-06
L26007,2,D1B-DDR5-24G,P3,1200,1055,87.97,BRIDGE,2026-03-10
L26007,3,D1B-DDR5-24G,P3,1200,1090,90.87,BRIDGE,2026-03-05
L26007,4,D1B-DDR5-24G,P3,1200,1020,85.03,OPEN,2026-03-10
L26007,5,D1B-DDR5-24G,P3,1200,1062,88.57,BRIDGE,2026-03-13
L26007,6,D1B-DDR5-24G,P3,1200,1068,89.03,OPEN,2026-03-07
L26007,7,D1B-DDR5-24G,P3,1200,1036,86.35,SCRATCH,2026-03-08
L26007,8,D1B-DDR5-24G,P3,1200,1072,89.35,OPEN,2026-03-12
L26007,9,D1B-DDR5-24G,P3,1200,1046,87.18,PARTICLE,2026-03-05
L26007,10,D1B-DDR5-24G,P3,1200,1010,84.22,BRIDGE,2026-03-14
L26007,11,D1B-DDR5-24G,P3,1200,1045,87.17,PARTICLE,2026-03-12
L26007,12,D1B-DDR5-24G,P3,1200,1074,89.53,THIN_FILM,2026-03-05
L26007,13,D1B-DDR5-24G,P3,1200,1086,90.55,PARTICLE,2026-03-10
L26007,14,D1B-DDR5-24G,P3,1200,1099,91.66,SCRATCH,2026-03-11
L26007,15,D1B-DDR5-24G,P3,1200,1057,88.14,BRIDGE,2026-03-08
L26007,16,D1B-DDR5-24G,P3,1200,1097,91.47,PARTICLE,2026-03-05
L26007,17,D1B-DDR5-24G,P3,1200,1076,89.69,OPEN,2026-03-10
L26007,18,D1B-DDR5-24G,P3,1200,1095,91.31,EDGE_CHIP,2026-03-07
L26007,19,D1B-DDR5-24G,P3,1200,1065,88.75,OPEN,2026-03-07
L26007,20,D1B-DDR5-24G,P3,1200,1060,88.4,MISALIGN,2026-03-12
L26007,21,D1B-DDR5-24G,P3,1200,1059,88.31,MISALIGN,2026-03-10
L26007,22,D1B-DDR5-24G,P3,1200,1054,87.9,PARTICLE,2026-03-13
L26007,23,D1B-DDR5-24G,P3,1200,1065,88.76,PARTICLE,2026-03-10
L26007,24,D1B-DDR5-24G,P3,1200,1061,88.48,SCRATCH,2026-03-05
L26007,25,D1B-DDR5-24G,P3,1200,1057,88.12,BRIDGE,2026-03-10
L26008,1,V9-NAND-2Tb,P1,1200,1122,93.55,ETC,2026-03-09
L26008,2,V9-NAND-2Tb,P1,1200,1132,94.35,ETC,2026-03-12
L26008,3,V9-NAND-2Tb,P1,1200,1126,93.87,EDGE_CHIP,2026-03-11
L26008,4,V9-NAND-2Tb,P1,1200,1045,87.14,PARTICLE,2026-03-12
L26008,5,V9-NAND-2Tb,P1,1200,1146,95.5,SCRATCH,2026-03-07
L26008,6,V9-NAND-2Tb,P1,1200,1099,91.63,SCRATCH,2026-03-05
L26008,7,V9-NAND-2Tb,P1,1200,1049,87.45,BRIDGE,2026-03-09
L26008,8,V9-NAND-2Tb,P1,1200,1107,92.28,BRIDGE,2026-03-06
L26008,9,V9-NAND-2Tb,P1,1200,1075,89.63,OPEN,2026-03-13
L26008,10,V9-NAND-2Tb,P1,1200,1069,89.12,OPEN,2026-03-08
L26008,11,V9-NAND-2Tb,P1,1200,1119,93.26,OPEN,2026-03-13
L26008,12,V9-NAND-2Tb,P1,1200,1124,93.74,PARTICLE,2026-03-06
L26008,13,V9-NAND-2Tb,P1,1200,1088,90.73,PARTICLE,2026-03-14
L26008,14,V9-NAND-2Tb,P1,1200,1089,90.8,BRIDGE,2026-03-09
L26008,15,V9-NAND-2Tb,P1,1200,1146,95.58,OPEN,2026-03-10
L26008,16,V9-NAND-2Tb,P1,1200,1119,93.26,SCRATCH,2026-03-14
L26008,17,V9-NAND-2Tb,P1,1200,1089,90.81,EDGE_CHIP,2026-03-09
L26008,18,V9-NAND-2Tb,P1,1200,1102,91.87,BRIDGE,2026-03-14
L26008,19,V9-NAND-2Tb,P1,1200,1115,92.98,PARTICLE,2026-03-12
L26008,20,V9-NAND-2Tb,P1,1200,1120,93.41,PARTICLE,2026-03-08
L26008,21,V9-NAND-2Tb,P1,1200,1105,92.12,OPEN,2026-03-06
L26008,22,V9-NAND-2Tb,P1,1200,1152,96.04,OPEN,2026-03-13
L26008,23,V9-NAND-2Tb,P1,1200,1138,94.88,ETC,2026-03-09
L26008,24,V9-NAND-2Tb,P1,1200,1147,95.65,MISALIGN,2026-03-13
L26008,25,V9-NAND-2Tb,P1,1200,1093,91.1,PARTICLE,2026-03-10
L26009,1,V8-NAND-1Tb,H1,1200,1197,99.8,BRIDGE,2026-03-09
L26009,2,V8-NAND-1Tb,H1,1200,1197,99.8,SCRATCH,2026-03-06
L26009,3,V8-NAND-1Tb,H1,1200,1197,99.8,PARTICLE,2026-03-06
L26009,4,V8-NAND-1Tb,H1,1200,1197,99.8,SCRATCH,2026-03-14
L26009,5,V8-NAND-1Tb,H1,1200,1181,98.45,PARTICLE,2026-03-12
L26009,6,V8-NAND-1Tb,H1,1200,1197,99.8,MISALIGN,2026-03-12
L26009,7,V8-NAND-1Tb,H1,1200,1197,99.8,PARTICLE,2026-03-12
L26009,8,V8-NAND-1Tb,H1,1200,1154,96.19,SCRATCH,2026-03-13
L26009,9,V8-NAND-1Tb,H1,1200,1182,98.54,EDGE_CHIP,2026-03-10
L26009,10,V8-NAND-1Tb,H1,1200,1164,97.05,BRIDGE,2026-03-07
L26009,11,V8-NAND-1Tb,H1,1200,1151,95.97,PARTICLE,2026-03-10
L26009,12,V8-NAND-1Tb,H1,1200,1183,98.62,EDGE_CHIP,2026-03-05
L26009,13,V8-NAND-1Tb,H1,1200,1197,99.8,PARTICLE,2026-03-13
L26009,14,V8-NAND-1Tb,H1,1200,1197,99.8,BRIDGE,2026-03-12
L26009,15,V8-NAND-1Tb,H1,1200,1197,99.77,OPEN,2026-03-14
L26009,16,V8-NAND-1Tb,H1,1200,1197,99.8,BRIDGE,2026-03-13
L26009,17,V8-NAND-1Tb,H1,1200,1197,99.8,MISALIGN,2026-03-10
L26009,18,V8-NAND-1Tb,H1,1200,1197,99.8,BRIDGE,2026-03-12
L26009,19,V8-NAND-1Tb,H1,1200,1178,98.24,PARTICLE,2026-03-12
L26009,20,V8-NAND-1Tb,H1,1200,1197,99.8,SCRATCH,2026-03-11
L26009,21,V8-NAND-1Tb,H1,1200,1197,99.8,EDGE_CHIP,2026-03-14
L26009,22,V8-NAND-1Tb,H1,1200,1191,99.31,THIN_FILM,2026-03-13
L26009,23,V8-NAND-1Tb,H1,1200,1197,99.8,PARTICLE,2026-03-07
L26009,24,V8-NAND-1Tb,H1,1200,1182,98.53,OPEN,2026-03-05
L26009,25,V8-NAND-1Tb,H1,1200,1197,99.8,MISALIGN,2026-03-08
L26010,1,D1Z-DDR5-16G,H1,1200,1123,93.65,PARTICLE,2026-03-06
L26010,2,D1Z-DDR5-16G,H1,1200,1136,94.71,BRIDGE,2026-03-09
L26010,3,D1Z-DDR5-16G,H1,1200,1105,92.1,THIN_FILM,2026-03-08
L26010,4,D1Z-DDR5-16G,H1,1200,1137,94.8,PARTICLE,2026-03-05
L26010,5,D1Z-DDR5-16G,H1,1200,1087,90.66,THIN_FILM,2026-03-13
L26010,6,D1Z-DDR5-16G,H1,1200,1113,92.76,SCRATCH,2026-03-06
L26010,7,D1Z-DDR5-16G,H1,1200,1119,93.27,OPEN,2026-03-14
L26010,8,D1Z-DDR5-16G,H1,1200,1125,93.78,PARTICLE,2026-03-14
L26010,9,D1Z-DDR5-16G,H1,1200,1131,94.29,ETC,2026-03-05
L26010,10,D1Z-DDR5-16G,H1,1200,1136,94.7,EDGE_CHIP,2026-03-14
L26010,11,D1Z-DDR5-16G,H1,1200,1130,94.25,PARTICLE,2026-03-12
L26010,12,D1Z-DDR5-16G,H1,1200,1088,90.68,PARTICLE,2026-03-10
L26010,13,D1Z-DDR5-16G,H1,1200,1087,90.61,BRIDGE,2026-03-06
L26010,14,D1Z-DDR5-16G,H1,1200,1130,94.24,BRIDGE,2026-03-10
L26010,15,D1Z-DDR5-16G,H1,1200,1062,88.51,THIN_FILM,2026-03-06
L26010,16,D1Z-DDR5-16G,H1,1200,1066,88.89,PARTICLE,2026-03-11
L26010,17,D1Z-DDR5-16G,H1,1200,1096,91.33,SCRATCH,2026-03-14
L26010,18,D1Z-DDR5-16G,H1,1200,1134,94.56,SCRATCH,2026-03-13
L26010,19,D1Z-DDR5-16G,H1,1200,1090,90.91,BRIDGE,2026-03-09
L26010,20,D1Z-DDR5-16G,H1,1200,1116,93.07,PARTICLE,2026-03-10
L26010,21,D1Z-DDR5-16G,H1,1200,1082,90.18,THIN_FILM,2026-03-09
L26010,22,D1Z-DDR5-16G,H1,1200,1153,96.08,PARTICLE,2026-03-13
L26010,23,D1Z-DDR5-16G,H1,1200,1081,90.09,EDGE_CHIP,2026-03-09
L26010,24,D1Z-DDR5-16G,H1,1200,1108,92.38,PARTICLE,2026-03-10
L26010,25,D1Z-DDR5-16G,H1,1200,1122,93.56,SCRATCH,2026-03-12
L26011,1,LSI-ISOCELL-HP2,P1,1200,1137,94.76,PARTICLE,2026-03-05
L26011,2,LSI-ISOCELL-HP2,P1,1200,1129,94.13,MISALIGN,2026-03-11
L26011,3,LSI-ISOCELL-HP2,P1,1200,1102,91.91,OPEN,2026-03-06
L26011,4,LSI-ISOCELL-HP2,P1,1200,1100,91.69,THIN_FILM,2026-03-09
L26011,5,LSI-ISOCELL-HP2,P1,1200,1108,92.4,OPEN,2026-03-05
L26011,6,LSI-ISOCELL-HP2,P1,1200,1140,95.02,PARTICLE,2026-03-10
L26011,7,LSI-ISOCELL-HP2,P1,1200,1026,85.57,PARTICLE,2026-03-07
L26011,8,LSI-ISOCELL-HP2,P1,1200,1116,93.01,BRIDGE,2026-03-12
L26011,9,LSI-ISOCELL-HP2,P1,1200,1122,93.55,BRIDGE,2026-03-09
L26011,10,LSI-ISOCELL-HP2,P1,1200,1109,92.46,PARTICLE,2026-03-09
L26011,11,LSI-ISOCELL-HP2,P1,1200,1059,88.33,OPEN,2026-03-06
L26011,12,LSI-ISOCELL-HP2,P1,1200,1103,91.92,PARTICLE,2026-03-12
L26011,13,LSI-ISOCELL-HP2,P1,1200,1089,90.78,PARTICLE,2026-03-07
L26011,14,LSI-ISOCELL-HP2,P1,1200,1093,91.13,SCRATCH,2026-03-13
L26011,15,LSI-ISOCELL-HP2,P1,1200,1076,89.7,BRIDGE,2026-03-07
L26011,16,LSI-ISOCELL-HP2,P1,1200,1112,92.75,BRIDGE,2026-03-05
L26011,17,LSI-ISOCELL-HP2,P1,1200,1086,90.51,THIN_FILM,2026-03-13
L26011,18,LSI-ISOCELL-HP2,P1,1200,1130,94.23,EDGE_CHIP,2026-03-08
L26011,19,LSI-ISOCELL-HP2,P1,1200,1181,98.47,BRIDGE,2026-03-05
L26011,20,LSI-ISOCELL-HP2,P1,1200,1156,96.38,OPEN,2026-03-07
L26011,21,LSI-ISOCELL-HP2,P1,1200,1131,94.26,MISALIGN,2026-03-10
L26011,22,LSI-ISOCELL-HP2,P1,1200,1096,91.37,SCRATCH,2026-03-11
L26011,23,LSI-ISOCELL-HP2,P1,1200,1144,95.39,BRIDGE,2026-03-10
L26011,24,LSI-ISOCELL-HP2,P1,1200,1115,92.92,PARTICLE,2026-03-09
L26011,25,LSI-ISOCELL-HP2,P1,1200,1117,93.15,BRIDGE,2026-03-10
L26012,1,V8-NAND-1Tb,P3,1200,1011,84.27,PARTICLE,2026-03-13
L26012,2,V8-NAND-1Tb,P3,1200,1049,87.47,BRIDGE,2026-03-13
L26012,3,V8-NAND-1Tb,P3,1200,1040,86.75,BRIDGE,2026-03-12
L26012,4,V8-NAND-1Tb,P3,1200,1058,88.24,BRIDGE,2026-03-05
