EQP_ID,ALARM_TIME,SEVERITY,MESSAGE,RECIPE,ACK_BY
CMP02,2026-03-02 14:28:07,WARN,"[W-3306] Pad temperature drift (LOT=L26091, STEP=PHOTO, value=24.79 unit)",RCP_PHOTO_03,
PHO01,2026-03-02 14:33:04,ERROR,"[E-2011] RF power unstable (LOT=L26052, STEP=ETCH, value=3.46 unit)",RCP_ETCH_02,
ETC01,2026-03-02 14:41:55,WARN,"[W-3306] Pad temperature drift (LOT=L26093, STEP=ETCH, value=4.01 unit)",RCP_ETCH_03,E701347
PC01,2026-03-02 14:44:23,WARN,"[W-3305] Slurry flow low (LOT=L26118, STEP=ETCH, value=4.73 unit)",RCP_ETCH_02,
CMP02,2026-03-02 14:48:18,INFO,"[I-5000] Recipe changed by operator (LOT=L26033, STEP=ETCH, value=13.67 unit)",RCP_ETCH_04,E927081
ETC01,2026-03-02 14:53:57,WARN,"[W-3306] Pad temperature drift (LOT=L26107, STEP=PHOTO, value=5.14 unit)",RCP_PHOTO_05,
ETC01,2026-03-02 15:04:35,ERROR,"[E-2011] RF power unstable (LOT=L26040, STEP=CBCMP, value=9.49 unit)",RCP_CBCMP_04,E290421
ETC01,2026-03-02 15:12:09,INFO,"[I-5000] Recipe changed by operator (LOT=L26053, STEP=ETCH, value=10.16 unit)",RCP_ETCH_01,
CMP01,2026-03-02 15:20:54,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26090, STEP=PHOTO, value=13.34 unit)",RCP_PHOTO_04,E240298
PHO01,2026-03-02 15:21:00,ERROR,"[E-1023] Chamber pressure high (LOT=L26025, STEP=ETCH, value=17.93 unit)",RCP_ETCH_05,
ETC01,2026-03-02 15:26:36,ERROR,"[E-1023] Chamber pressure high (LOT=L26109, STEP=PC, value=24.43 unit)",RCP_PC_03,
CMP01,2026-03-02 15:28:05,ERROR,"[E-1023] Chamber pressure high (LOT=L26043, STEP=PHOTO, value=1.22 unit)",RCP_PHOTO_04,
CMP01,2026-03-02 15:35:27,ERROR,"[E-1023] Chamber pressure high (LOT=L26061, STEP=ETCH, value=2.48 unit)",RCP_ETCH_01,
CMP02,2026-03-02 15:43:27,WARN,"[W-3306] Pad temperature drift (LOT=L26020, STEP=PHOTO, value=22.99 unit)",RCP_PHOTO_01,
CMP01,2026-03-02 15:52:26,WARN,"[W-3305] Slurry flow low (LOT=L26087, STEP=RMG, value=23.4 unit)",RCP_RMG_01,
PHO01,2026-03-02 16:00:39,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26015, STEP=PC, value=20.07 unit)",RCP_PC_05,
CMP02,2026-03-02 16:03:06,ERROR,"[E-1023] Chamber pressure high (LOT=L26008, STEP=RMG, value=15.47 unit)",RCP_RMG_03,E622687
ETC02,2026-03-02 16:14:40,ERROR,"[E-1023] Chamber pressure high (LOT=L26027, STEP=ETCH, value=2.19 unit)",RCP_ETCH_05,
CMP01,2026-03-02 16:29:56,ERROR,"[E-2011] RF power unstable (LOT=L26001, STEP=RMG, value=23.99 unit)",RCP_RMG_05,
CMP02,2026-03-02 16:38:26,ERROR,"[E-1023] Chamber pressure high (LOT=L26010, STEP=ETCH, value=14.3 unit)",RCP_ETCH_01,E703988
CMP01,2026-03-02 16:39:59,WARN,"[W-3305] Slurry flow low (LOT=L26035, STEP=RMG, value=20.54 unit)",RCP_RMG_01,E590918
CMP02,2026-03-02 16:41:04,WARN,"[W-3306] Pad temperature drift (LOT=L26119, STEP=RMG, value=15.88 unit)",RCP_RMG_04,
CMP02,2026-03-02 16:43:18,ERROR,"[E-2011] RF power unstable (LOT=L26013, STEP=PC, value=15.74 unit)",RCP_PC_01,E935443
ETC02,2026-03-02 16:49:03,ERROR,"[E-2011] RF power unstable (LOT=L26029, STEP=PC, value=7.47 unit)",RCP_PC_04,E104238
CMP02,2026-03-02 16:54:41,INFO,"[I-5000] Recipe changed by operator (LOT=L26036, STEP=ETCH, value=18.0 unit)",RCP_ETCH_05,
PHO01,2026-03-02 17:09:26,WARN,"[W-3306] Pad temperature drift (LOT=L26046, STEP=ETCH, value=4.65 unit)",RCP_ETCH_05,
ETC02,2026-03-02 17:12:30,ERROR,"[E-1023] Chamber pressure high (LOT=L26063, STEP=RMG, value=21.54 unit)",RCP_RMG_01,
PHO01,2026-03-02 17:38:31,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26089, STEP=PC, value=6.97 unit)",RCP_PC_02,
ETC01,2026-03-02 17:50:09,WARN,"[W-3306] Pad temperature drift (LOT=L26078, STEP=RMG, value=13.9 unit)",RCP_RMG_05,
ETC02,2026-03-02 18:11:26,ERROR,"[E-1023] Chamber pressure high (LOT=L26070, STEP=PC, value=20.39 unit)",RCP_PC_04,
ETC01,2026-03-02 18:21:58,ERROR,"[E-1023] Chamber pressure high (LOT=L26063, STEP=RMG, value=22.28 unit)",RCP_RMG_04,
PC01,2026-03-02 18:28:56,ERROR,"[E-2011] RF power unstable (LOT=L26052, STEP=ETCH, value=8.78 unit)",RCP_ETCH_05,
CMP02,2026-03-02 18:36:13,ERROR,"[E-2011] RF power unstable (LOT=L26100, STEP=CBCMP, value=4.08 unit)",RCP_CBCMP_02,
CMP01,2026-03-02 18:50:32,WARN,"[W-3306] Pad temperature drift (LOT=L26026, STEP=ETCH, value=11.07 unit)",RCP_ETCH_04,
ETC01,2026-03-02 19:10:35,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26066, STEP=RMG, value=21.78 unit)",RCP_RMG_04,
ETC01,2026-03-02 19:11:32,WARN,"[W-3305] Slurry flow low (LOT=L26089, STEP=PC, value=6.56 unit)",RCP_PC_05,
CMP02,2026-03-02 19:13:12,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26006, STEP=ETCH, value=16.62 unit)",RCP_ETCH_05,
PHO01,2026-03-02 19:42:10,INFO,"[I-5000] Recipe changed by operator (LOT=L26064, STEP=PHOTO, value=13.38 unit)",RCP_PHOTO_02,
PHO01,2026-03-02 19:52:50,WARN,"[W-3306] Pad temperature drift (LOT=L26108, STEP=CBCMP, value=22.31 unit)",RCP_CBCMP_03,
PHO01,2026-03-02 20:08:48,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26048, STEP=ETCH, value=5.86 unit)",RCP_ETCH_02,
CMP01,2026-03-02 20:52:23,ERROR,"[E-1023] Chamber pressure high (LOT=L26050, STEP=PHOTO, value=13.88 unit)",RCP_PHOTO_02,E570393
ETC02,2026-03-02 21:20:01,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26119, STEP=ETCH, value=13.41 unit)",RCP_ETCH_01,
ETC02,2026-03-02 21:21:28,INFO,"[I-5000] Recipe changed by operator (LOT=L26014, STEP=RMG, value=21.83 unit)",RCP_RMG_01,
PC01,2026-03-02 21:25:06,ERROR,"[E-2011] RF power unstable (LOT=L26082, STEP=PHOTO, value=6.42 unit)",RCP_PHOTO_04,
PHO01,2026-03-02 21:35:39,ERROR,"[E-2011] RF power unstable (LOT=L26116, STEP=PC, value=18.57 unit)",RCP_PC_04,E465051
CMP02,2026-03-02 22:01:46,ERROR,"[E-2011] RF power unstable (LOT=L26097, STEP=PC, value=15.15 unit)",RCP_PC_04,E164732
CMP01,2026-03-02 22:26:53,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26059, STEP=CBCMP, value=8.74 unit)",RCP_CBCMP_02,
CMP01,2026-03-02 22:36:04,WARN,"[W-3305] Slurry flow low (LOT=L26081, STEP=RMG, value=12.91 unit)",RCP_RMG_05,
PC01,2026-03-02 22:54:13,WARN,"[W-3306] Pad temperature drift (LOT=L26103, STEP=CBCMP, value=23.05 unit)",RCP_CBCMP_03,E930576
PC01,2026-03-02 23:26:01,ERROR,"[E-2011] RF power unstable (LOT=L26102, STEP=PC, value=11.52 unit)",RCP_PC_02,E590020
ETC02,2026-03-02 23:30:12,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26095, STEP=RMG, value=10.62 unit)",RCP_RMG_02,E407790
PC01,2026-03-02 23:31:53,ERROR,"[E-2011] RF power unstable (LOT=L26044, STEP=PC, value=22.69 unit)",RCP_PC_03,E311587
CMP02,2026-03-02 23:36:04,ERROR,"[E-1023] Chamber pressure high (LOT=L26087, STEP=ETCH, value=7.47 unit)",RCP_ETCH_05,
PC01,2026-03-02 23:37:40,INFO,"[I-5000] Recipe changed by operator (LOT=L26037, STEP=PHOTO, value=9.11 unit)",RCP_PHOTO_02,
CMP01,2026-03-02 23:41:01,ERROR,"[E-1023] Chamber pressure high (LOT=L26104, STEP=ETCH, value=24.81 unit)",RCP_ETCH_03,E989619
CMP01,2026-03-02 23:47:30,ERROR,"[E-2011] RF power unstable (LOT=L26100, STEP=RMG, value=10.26 unit)",RCP_RMG_01,
ETC02,2026-03-02 23:56:36,ERROR,"[E-2011] RF power unstable (LOT=L26048, STEP=RMG, value=11.01 unit)",RCP_RMG_03,
PC01,2026-03-03 00:11:41,INFO,"[I-5000] Recipe changed by operator (LOT=L26104, STEP=ETCH, value=24.95 unit)",RCP_ETCH_01,
CMP02,2026-03-03 00:12:09,WARN,"[W-3305] Slurry flow low (LOT=L26067, STEP=PHOTO, value=9.39 unit)",RCP_PHOTO_03,
ETC02,2026-03-03 00:12:22,ERROR,"[E-1023] Chamber pressure high (LOT=L26093, STEP=PC, value=8.21 unit)",RCP_PC_02,E493024
CMP02,2026-03-03 00:15:05,WARN,"[W-3305] Slurry flow low (LOT=L26054, STEP=PHOTO, value=11.52 unit)",RCP_PHOTO_05,E964488
PHO01,2026-03-03 00:39:12,INFO,"[I-5000] Recipe changed by operator (LOT=L26019, STEP=PHOTO, value=6.01 unit)",RCP_PHOTO_03,
PHO01,2026-03-03 00:43:48,WARN,"[W-3306] Pad temperature drift (LOT=L26075, STEP=CBCMP, value=4.05 unit)",RCP_CBCMP_01,
ETC01,2026-03-03 01:04:29,ERROR,"[E-1023] Chamber pressure high (LOT=L26002, STEP=PHOTO, value=12.33 unit)",RCP_PHOTO_03,
CMP02,2026-03-03 01:16:28,ERROR,"[E-1023] Chamber pressure high (LOT=L26003, STEP=ETCH, value=16.95 unit)",RCP_ETCH_05,
PHO01,2026-03-03 01:18:32,INFO,"[I-5000] Recipe changed by operator (LOT=L26026, STEP=PC, value=19.73 unit)",RCP_PC_04,
PHO01,2026-03-03 01:29:49,WARN,"[W-3306] Pad temperature drift (LOT=L26046, STEP=PHOTO, value=20.43 unit)",RCP_PHOTO_01,
CMP02,2026-03-03 01:42:23,INFO,"[I-5000] Recipe changed by operator (LOT=L26094, STEP=RMG, value=10.28 unit)",RCP_RMG_01,E874190
CMP02,2026-03-03 01:44:47,WARN,"[W-3306] Pad temperature drift (LOT=L26090, STEP=CBCMP, value=20.68 unit)",RCP_CBCMP_03,
ETC02,2026-03-03 02:02:40,WARN,"[W-3306] Pad temperature drift (LOT=L26006, STEP=RMG, value=11.4 unit)",RCP_RMG_04,
PC01,2026-03-03 02:03:29,INFO,"[I-5000] Recipe changed by operator (LOT=L26035, STEP=PHOTO, value=3.3 unit)",RCP_PHOTO_03,
PHO01,2026-03-03 02:15:19,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26005, STEP=RMG, value=22.74 unit)",RCP_RMG_03,
CMP01,2026-03-03 02:17:32,ERROR,"[E-1023] Chamber pressure high (LOT=L26116, STEP=RMG, value=18.54 unit)",RCP_RMG_05,
PC01,2026-03-03 02:36:27,ERROR,"[E-2011] RF power unstable (LOT=L26074, STEP=CBCMP, value=17.95 unit)",RCP_CBCMP_01,
PC01,2026-03-03 02:40:59,WARN,"[W-3306] Pad temperature drift (LOT=L26041, STEP=ETCH, value=4.77 unit)",RCP_ETCH_03,
ETC01,2026-03-03 03:21:40,ERROR,"[E-1023] Chamber pressure high (LOT=L26028, STEP=PHOTO, value=15.96 unit)",RCP_PHOTO_04,
ETC01,2026-03-03 03:21:51,WARN,"[W-3305] Slurry flow low (LOT=L26087, STEP=PC, value=2.67 unit)",RCP_PC_02,
PHO01,2026-03-03 03:26:44,ERROR,"[E-2011] RF power unstable (LOT=L26086, STEP=PHOTO, value=21.81 unit)",RCP_PHOTO_04,E175688
PHO01,2026-03-03 03:33:17,ERROR,"[E-1023] Chamber pressure high (LOT=L26018, STEP=ETCH, value=9.0 unit)",RCP_ETCH_01,E562244
CMP02,2026-03-03 03:44:13,ERROR,"[E-1023] Chamber pressure high (LOT=L26066, STEP=CBCMP, value=15.59 unit)",RCP_CBCMP_02,
ETC01,2026-03-03 03:57:39,ERROR,"[E-1023] Chamber pressure high (LOT=L26028, STEP=RMG, value=9.76 unit)",RCP_RMG_04,E683120
ETC01,2026-03-03 04:03:00,ERROR,"[E-1023] Chamber pressure high (LOT=L26005, STEP=PC, value=22.48 unit)",RCP_PC_03,
PC01,2026-03-03 04:17:39,WARN,"[W-3306] Pad temperature drift (LOT=L26034, STEP=PC, value=22.25 unit)",RCP_PC_02,
ETC01,2026-03-03 04:37:30,INFO,"[I-5000] Recipe changed by operator (LOT=L26016, STEP=PC, value=20.58 unit)",RCP_PC_01,
PC01,2026-03-03 04:48:30,ERROR,"[E-1023] Chamber pressure high (LOT=L26078, STEP=PHOTO, value=24.82 unit)",RCP_PHOTO_02,
ETC02,2026-03-03 05:22:21,ERROR,"[E-1023] Chamber pressure high (LOT=L26022, STEP=CBCMP, value=12.31 unit)",RCP_CBCMP_02,
CMP01,2026-03-03 05:35:58,WARN,"[W-3306] Pad temperature drift (LOT=L26112, STEP=RMG, value=15.41 unit)",RCP_RMG_04,E497937
CMP02,2026-03-03 05:48:31,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26000, STEP=CBCMP, value=15.78 unit)",RCP_CBCMP_05,
PC01,2026-03-03 05:50:15,ERROR,"[E-1023] Chamber pressure high (LOT=L26086, STEP=PHOTO, value=23.79 unit)",RCP_PHOTO_03,
CMP01,2026-03-03 05:51:05,INFO,"[I-5000] Recipe changed by operator (LOT=L26024, STEP=RMG, value=23.1 unit)",RCP_RMG_04,
PHO01,2026-03-03 05:58:00,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26082, STEP=PHOTO, value=24.85 unit)",RCP_PHOTO_02,
ETC01,2026-03-03 06:07:55,ERROR,"[E-1023] Chamber pressure high (LOT=L26080, STEP=ETCH, value=6.43 unit)",RCP_ETCH_04,
CMP01,2026-03-03 06:19:20,WARN,"[W-3306] Pad temperature drift (LOT=L26089, STEP=PHOTO, value=20.66 unit)",RCP_PHOTO_04,
CMP01,2026-03-03 06:39:12,INFO,"[I-5000] Recipe changed by operator (LOT=L26029, STEP=PC, value=4.37 unit)",RCP_PC_04,
CMP02,2026-03-03 06:46:45,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26048, STEP=CBCMP, value=18.92 unit)",RCP_CBCMP_01,
CMP01,2026-03-03 06:54:26,WARN,"[W-3305] Slurry flow low (LOT=L26084, STEP=ETCH, value=5.45 unit)",RCP_ETCH_05,
CMP02,2026-03-03 07:00:29,WARN,"[W-3306] Pad temperature drift (LOT=L26000, STEP=ETCH, value=12.3 unit)",RCP_ETCH_04,
ETC01,2026-03-03 07:02:17,INFO,"[I-5000] Recipe changed by operator (LOT=L26013, STEP=RMG, value=4.27 unit)",RCP_RMG_03,E921223
CMP01,2026-03-03 07:07:29,WARN,"[W-3305] Slurry flow low (LOT=L26063, STEP=PHOTO, value=1.32 unit)",RCP_PHOTO_05,
ETC02,2026-03-03 07:20:59,INFO,"[I-5000] Recipe changed by operator (LOT=L26000, STEP=CBCMP, value=20.23 unit)",RCP_CBCMP_05,E606504
ETC01,2026-03-03 07:24:04,WARN,"[W-3306] Pad temperature drift (LOT=L26113, STEP=RMG, value=10.69 unit)",RCP_RMG_05,
CMP02,2026-03-03 07:50:52,WARN,"[W-3306] Pad temperature drift (LOT=L26028, STEP=RMG, value=22.4 unit)",RCP_RMG_05,
CMP01,2026-03-03 07:54:13,WARN,"[W-3306] Pad temperature drift (LOT=L26045, STEP=CBCMP, value=4.06 unit)",RCP_CBCMP_04,
ETC02,2026-03-03 07:55:53,WARN,"[W-3306] Pad temperature drift (LOT=L26107, STEP=RMG, value=23.41 unit)",RCP_RMG_03,E533416
CMP01,2026-03-03 07:59:00,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26061, STEP=PHOTO, value=19.37 unit)",RCP_PHOTO_04,
ETC01,2026-03-03 07:59:30,ERROR,"[E-1023] Chamber pressure high (LOT=L26063, STEP=ETCH, value=8.36 unit)",RCP_ETCH_01,
PHO01,2026-03-03 08:19:23,INFO,"[I-5000] Recipe changed by operator (LOT=L26015, STEP=CBCMP, value=1.93 unit)",RCP_CBCMP_03,
ETC01,2026-03-03 08:24:27,ERROR,"[E-2011] RF power unstable (LOT=L26049, STEP=CBCMP, value=12.7 unit)",RCP_CBCMP_05,E431813
ETC01,2026-03-03 08:28:25,ERROR,"[E-1023] Chamber pressure high (LOT=L26025, STEP=RMG, value=10.44 unit)",RCP_RMG_01,E723260
CMP02,2026-03-03 08:29:38,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26085, STEP=PHOTO, value=2.31 unit)",RCP_PHOTO_04,
PC01,2026-03-03 08:39:50,ERROR,"[E-4102] Wafer transfer timeout (LOT=L26102, STEP=RMG, value=3.14 unit)",RCP_RMG_01,
ETC02,2026-03-03 08:57:46,WARN,"[W-3305] Slurry flow low (LOT=L26048, STEP=ETCH, value=12.71 unit)",RCP_ETCH_02,E672144
CMP01,2026-03-03 09:05:32,ERROR,"[E-2011] RF power unstable (LOT=L26115, STEP=ETCH, value=18.16 unit)",RCP_ETCH_05,
CMP02,2026-03-03 09:17:00,WARN,"[W-3305] Slurry flow low (LOT=L26007, STEP=RMG, value=9.27 unit)",RCP_RMG_01,
CMP02,2026-03-03 09:38:54,WARN,"[W-3306] Pad temperature drift (LOT=L26097, STEP=RMG, value=17.03 unit)",RCP_RMG_05,
