LOT_ID,JOIN_ID,PRODUCT,LINE,PRIORITY,PLAN_QTY,START_TIME,OWNER_DEPT
L26028,L26028,V9-NAND-2Tb,P3,NORMAL,12,2026-03-08 00:07:00,메모리제조기술
L26029,L26029,D1B-DDR5-24G,P2,HOT,25,2026-03-03 02:24:00,시스템LSI개발
L26030,L26030,V8-NAND-1Tb,P2,NORMAL,25,2026-03-02 23:09:00,파운드리제조
L26031,L26031,LSI-ISOCELL-HP2,P2,NORMAL,25,2026-03-05 04:04:00,파운드리제조
L26032,L26032,D1B-DDR5-24G,H1,NORMAL,12,2026-03-06 15:50:00,시스템LSI개발
L26033,L26033,D1Z-DDR5-16G,P3,NORMAL,25,2026-03-03 12:12:00,메모리공정개발
L26034,L26034,V8-NAND-1Tb,P3,NORMAL,25,2026-03-04 05:18:00,시스템LSI개발
L26035,L26035,D1B-DDR5-24G,P1,LOW,12,2026-03-09 01:40:00,메모리공정개발
L26036,L26036,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-06 19:24:00,품질보증
L26037,L26037,D1B-DDR5-24G,P1,LOW,25,2026-03-06 06:31:00,시스템LSI개발
L26038,L26038,D1B-DDR5-24G,H1,NORMAL,12,2026-03-04 16:14:00,메모리공정개발
L26039,L26039,D1B-DDR5-24G,P3,NORMAL,25,2026-03-05 10:58:00,메모리공정개발
L26040,L26040,D1Z-DDR5-16G,P1,NORMAL,25,2026-03-08 09:16:00,시스템LSI개발
L26041,L26041,V8-NAND-1Tb,P2,NORMAL,24,2026-03-04 00:57:00,메모리제조기술
L26042,L26042,D1Z-DDR5-16G,P1,HOT,25,2026-03-07 03:11:00,시스템LSI개발
L26043,L26043,LSI-ISOCELL-HP2,H1,NORMAL,25,2026-03-06 08:04:00,파운드리제조
L26044,L26044,V8-NAND-1Tb,H1,LOW,24,2026-03-08 01:51:00,메모리제조기술
L26045,L26045,D1B-DDR5-24G,P1,NORMAL,25,2026-03-07 10:21:00,메모리공정개발
L26046,L26046,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-08 18:48:00,메모리공정개발
L26047,L26047,V8-NAND-1Tb,P1,NORMAL,25,2026-03-06 03:24:00,시스템LSI개발
L26048,L26048,LSI-ISOCELL-HP2,P2,LOW,24,2026-03-04 05:24:00,파운드리제조
L26049,L26049,V8-NAND-1Tb,P1,NORMAL,25,2026-03-04 15:33:00,메모리공정개발
L26050,L26050,LSI-ISOCELL-HP2,H1,NORMAL,12,2026-03-07 08:35:00,메모리공정개발
L26051,L26051,LSI-ISOCELL-HP2,H1,NORMAL,24,2026-03-05 22:54:00,품질보증
L26052,L26052,D1B-DDR5-24G,P3,HOT,24,2026-03-04 06:54:00,파운드리제조
L26053,L26053,V9-NAND-2Tb,P2,NORMAL,25,2026-03-03 22:28:00,파운드리제조
L26054,L26054,LSI-ISOCELL-HP2,P3,NORMAL,25,2026-03-07 00:04:00,메모리제조기술
L26055,L26055,LSI-ISOCELL-HP2,P3,NORMAL,12,2026-03-05 22:55:00,메모리공정개발
L26056,L26056,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-06 20:02:00,메모리공정개발
L26057,L26057,D1Z-DDR5-16G,P3,NORMAL,24,2026-03-09 01:32:00,파운드리제조
L26058,L26058,V8-NAND-1Tb,P3,LOW,25,2026-03-05 09:46:00,파운드리제조
L26059,L26059,D1B-DDR5-24G,P2,NORMAL,25,2026-03-07 22:00:00,메모리제조기술
L26060,L26060,D1B-DDR5-24G,P1,HOT,12,2026-03-07 15:10:00,품질보증
L26061,L26061,D1B-DDR5-24G,P1,LOW,25,2026-03-06 09:12:00,파운드리제조
L26062,L26062,LSI-ISOCELL-HP2,P2,NORMAL,24,2026-03-08 17:19:00,품질보증
L26063,L26063,LSI-ISOCELL-HP2,P2,NORMAL,24,2026-03-05 11:18:00,파운드리제조
L26064,L26064,V8-NAND-1Tb,P1,HOT,25,2026-03-05 04:49:00,메모리제조기술
L26065,L26065,LSI-ISOCELL-HP2,P2,NORMAL,24,2026-03-08 03:19:00,시스템LSI개발
L26066,L26066,D1B-DDR5-24G,H1,NORMAL,12,2026-03-09 04:29:00,시스템LSI개발
L26067,L26067,V8-NAND-1Tb,P1,NORMAL,25,2026-03-07 12:50:00,메모리제조기술
L26068,L26068,V9-NAND-2Tb,P2,NORMAL,25,2026-03-06 01:56:00,메모리공정개발
L26069,L26069,V8-NAND-1Tb,P3,HOT,25,2026-03-08 15:31:00,시스템LSI개발
L26070,L26070,D1B-DDR5-24G,P2,NORMAL,24,2026-03-08 19:47:00,시스템LSI개발
L26071,L26071,D1Z-DDR5-16G,P1,NORMAL,25,2026-03-04 05:00:00,메모리제조기술
L26072,L26072,V8-NAND-1Tb,P2,NORMAL,12,2026-03-05 16:12:00,메모리제조기술
L26073,L26073,V9-NAND-2Tb,P3,HOT,12,2026-03-02 18:59:00,시스템LSI개발
L26074,L26074,D1B-DDR5-24G,H1,NORMAL,12,2026-03-08 03:26:00,시스템LSI개발
L26075,L26075,D1B-DDR5-24G,P3,HOT,25,2026-03-06 19:08:00,메모리공정개발
L26076,L26076,LSI-ISOCELL-HP2,P2,NORMAL,25,2026-03-02 08:40:00,메모리제조기술
L26077,L26077,D1Z-DDR5-16G,P1,NORMAL,24,2026-03-03 12:49:00,품질보증
L26078,L26078,D1B-DDR5-24G,P1,HOT,25,2026-03-02 06:34:00,시스템LSI개발
L26079,L26079,LSI-ISOCELL-HP2,H1,LOW,25,2026-03-08 02:20:00,파운드리제조
L26080,L26080,V8-NAND-1Tb,H1,HOT,25,2026-03-05 21:33:00,메모리공정개발
L26081,L26081,LSI-ISOCELL-HP2,P2,HOT,12,2026-03-02 11:56:00,품질보증
L26082,L26082,V9-NAND-2Tb,P1,NORMAL,25,2026-03-04 23:32:00,메모리공정개발
L26083,L26083,D1B-DDR5-24G,P2,HOT,24,2026-03-08 18:13:00,메모리공정개발
L26084,L26084,D1Z-DDR5-16G,H1,NORMAL,25,2026-03-06 12:09:00,시스템LSI개발
L26085,L26085,V8-NAND-1Tb,H1,NORMAL,25,2026-03-05 14:34:00,메모리제조기술
L26086,L26086,LSI-ISOCELL-HP2,H1,LOW,12,2026-03-07 07:48:00,파운드리제조
L26087,L26087,D1B-DDR5-24G,P3,NORMAL,25,2026-03-07 16:15:00,파운드리제조
L26088,L26088,D1Z-DDR5-16G,P2,NORMAL,25,2026-03-08 11:02:00,품질보증
L26089,L26089,LSI-ISOCELL-HP2,P3,HOT,24,2026-03-02 22:30:00,품질보증
L26090,L26090,V9-NAND-2Tb,P3,NORMAL,25,2026-03-08 19:51:00,메모리제조기술
L26091,L26091,V9-NAND-2Tb,H1,NORMAL,25,2026-03-03 11:50:00,파운드리제조
L26092,L26092,LSI-ISOCELL-HP2,H1,LOW,25,2026-03-07 23:36:00,품질보증
L26093,L26093,V9-NAND-2Tb,P1,LOW,24,2026-03-05 20:42:00,파운드리제조
L26094,L26094,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-04 23:10:00,메모리제조기술
L26095,L26095,D1B-DDR5-24G,P1,NORMAL,24,2026-03-02 19:08:00,품질보증
L26096,L26096,D1B-DDR5-24G,P1,NORMAL,25,2026-03-04 18:15:00,파운드리제조
L26097,L26097,V9-NAND-2Tb,H1,NORMAL,25,2026-03-02 22:07:00,품질보증
L26098,L26098,LSI-ISOCELL-HP2,H1,NORMAL,25,2026-03-08 20:43:00,시스템LSI개발
L26099,L26099,V9-NAND-2Tb,P1,NORMAL,25,2026-03-02 19:15:00,품질보증
L26100,L26100,D1Z-DDR5-16G,H1,HOT,24,2026-03-09 04:31:00,메모리공정개발
L26101,L26101,D1B-DDR5-24G,P3,NORMAL,24,2026-03-05 20:50:00,메모리공정개발
L26102,L26102,LSI-ISOCELL-HP2,P2,HOT,25,2026-03-08 09:19:00,메모리공정개발
L26103,L26103,V9-NAND-2Tb,P3,NORMAL,25,2026-03-04 21:33:00,메모리제조기술
L26104,L26104,D1Z-DDR5-16G,P2,NORMAL,25,2026-03-03 13:11:00,메모리제조기술
L26105,L26105,LSI-ISOCELL-HP2,P1,NORMAL,25,2026-03-04 01:32:00,메모리제조기술
L26106,L26106,D1Z-DDR5-16G,H1,NORMAL,25,2026-03-02 16:35:00,파운드리제조
L26107,L26107,D1B-DDR5-24G,P3,HOT,12,2026-03-03 08:26:00,메모리공정개발
L26108,L26108,D1B-DDR5-24G,P2,NORMAL,25,2026-03-06 12:33:00,파운드리제조
L26109,L26109,D1Z-DDR5-16G,H1,NORMAL,24,2026-03-06 12:27:00,품질보증
L26110,L26110,V9-NAND-2Tb,P3,NORMAL,24,2026-03-04 18:04:00,파운드리제조
L26111,L26111,LSI-ISOCELL-HP2,P1,NORMAL,12,2026-03-07 05:22:00,메모리공정개발
L26112,L26112,D1Z-DDR5-16G,P1,NORMAL,12,2026-03-03 17:49:00,품질보증
L26113,L26113,D1B-DDR5-24G,P2,LOW,12,2026-03-02 06:16:00,시스템LSI개발
L26114,L26114,V8-NAND-1Tb,H1,HOT,25,2026-03-04 15:51:00,파운드리제조
L26115,L26115,D1B-DDR5-24G,P3,NORMAL,24,2026-03-06 20:50:00,메모리제조기술
L26116,L26116,D1Z-DDR5-16G,P3,NORMAL,24,2026-03-06 16:24:00,메모리제조기술
L26117,L26117,V9-NAND-2Tb,H1,NORMAL,24,2026-03-05 23:31:00,파운드리제조
L26118,L26118,LSI-ISOCELL-HP2,P2,NORMAL,25,2026-03-04 09:26:00,시스템LSI개발
L26119,L26119,D1Z-DDR5-16G,P1,NORMAL,24,2026-03-06 20:51:00,메모리공정개발
