LOT_ID,JOIN_ID,WAFER_NO,STEP_DESC,EQP_ID,CHAMBER,MEAS_TIME,THICKNESS,CD,TEMP,PRESSURE,PARTICLE_CNT,SIZE_Y,IS_DEFECT,OPER_ID
L26065,L26065,13,ETCH,ETC01,B,2026-03-02 07:06:05,145.868,32.101,241.2,12.555,4,0.766,FALSE,E780485
L26078,L26078,21,RMG,RMG01,B,2026-03-02 07:07:41,309.305,32.076,232.54,12.273,9,1.207,FALSE,E683232
L26065,L26065,14,ETCH,ETC01,B,2026-03-02 07:07:48,144.199,31.82,,11.682,3,1.284,FALSE,E621185
L26078,L26078,22,RMG,RMG01,B,2026-03-02 07:09:24,310.493,32.155,238.15,11.883,4,1.408,FALSE,E231312
L26065,L26065,15,ETCH,ETC01,B,2026-03-02 07:09:30,146.668,32.346,234.45,11.887,3,1.145,FALSE,E628821
L26078,L26078,23,RMG,RMG01,B,2026-03-02 07:11:06,309.43,31.854,237.26,12.634,2,1.409,FALSE,E222400
L26065,L26065,16,ETCH,ETC01,B,2026-03-02 07:11:12,144.583,31.58,239.99,12.031,5,1.164,FALSE,E641918
L26078,L26078,24,RMG,RMG01,B,2026-03-02 07:12:48,303.378,32.089,,12.575,6,1.305,FALSE,E229796
L26065,L26065,17,ETCH,ETC01,B,2026-03-02 07:12:54,144.82,,234.63,12.105,5,,FALSE,E944757
L26078,L26078,25,RMG,RMG01,B,2026-03-02 07:14:30,311.064,31.935,242.97,12.679,5,1.346,FALSE,E820289
L26065,L26065,18,ETCH,ETC01,B,2026-03-02 07:14:35,145.196,32.387,232.42,11.362,4,0.426,FALSE,E792766
L26075,L26075,1,CBCMP,CMP02,B,2026-03-02 07:14:42,986.099,33.015,240.13,12.057,1,1.186,FALSE,E828454
L26065,L26065,19,ETCH,ETC01,B,2026-03-02 07:16:17,142.192,32.196,229.68,12.424,3,1.097,FALSE,E137214
L26075,L26075,2,CBCMP,CMP02,B,2026-03-02 07:16:24,975.764,32.225,240.7,11.505,2,1.236,FALSE,E441923
L26006,L26006,1,CBCMP,CMP01,B,2026-03-02 07:16:42,975.615,32.452,239.48,12.884,4,0.995,FALSE,E905626
L26065,L26065,20,ETCH,ETC01,B,2026-03-02 07:18:00,145.908,31.711,241.66,12.268,3,1.463,FALSE,E714218
L26075,L26075,3,CBCMP,CMP02,B,2026-03-02 07:18:06,965.937,32.932,229.59,11.863,4,1.109,FALSE,E892465
L26065,L26065,21,ETCH,ETC01,B,2026-03-02 07:19:41,145.725,32.13,235.69,11.879,1,0.938,FALSE,E589767
L26075,L26075,4,CBCMP,CMP02,B,2026-03-02 07:19:48,979.742,33.178,236.05,11.926,1,1.567,FALSE,E135963
L26006,L26006,3,CBCMP,CMP01,B,2026-03-02 07:20:06,981.325,32.019,233.61,12.182,1,0.831,REAL,E574665
L26065,L26065,22,ETCH,ETC01,B,2026-03-02 07:21:24,145.593,32.669,229.7,12.477,4,1.204,FALSE,E459847
L26075,L26075,5,CBCMP,CMP02,B,2026-03-02 07:21:30,981.597,33.124,230.63,12.11,14,1.872,FALSE,E428752
L26065,L26065,23,ETCH,ETC01,B,2026-03-02 07:23:06,144.637,31.529,237.45,12.122,4,0.762,FALSE,E156329
L26075,L26075,6,CBCMP,CMP02,B,2026-03-02 07:23:12,975.922,33.147,230.73,12.469,3,1.306,FALSE,E575441
L26006,L26006,5,CBCMP,CMP01,B,2026-03-02 07:23:30,971.536,31.436,230.56,12.379,3,0.996,FALSE,E326574
L26108,L26108,21,PHOTO,PHO01,A,2026-03-02 07:23:41,88.50961134500052,31.501,229.6,12.884,2,1.356,FALSE,E641335
L26065,L26065,24,ETCH,ETC01,B,2026-03-02 07:24:48,145.878,31.922,238.13,11.767,2,1.512,FALSE,E447028
L26075,L26075,7,CBCMP,CMP02,B,2026-03-02 07:24:54,990.632,33.676,233.08,11.132,19,0.99,FALSE,E170880
L26065,L26065,25,ETCH,ETC01,B,2026-03-02 07:26:30,144.798,31.718,230.88,12.395,6,,FALSE,E885411
L26075,L26075,8,CBCMP,CMP02,B,2026-03-02 07:26:36,974.339,33.247,232.46,11.441,7,1.386,FALSE,E659098
L26006,L26006,7,CBCMP,CMP01,B,2026-03-02 07:26:54,968.766,,233.15,11.892,4,1.072,FALSE,E725362
L26040,L26040,1,PHOTO,PHO01,B,2026-03-02 07:27:42,87.071,32.219,232.36,12.215,4,1.301,FALSE,E689156
L26075,L26075,9,CBCMP,CMP02,B,2026-03-02 07:28:17,968.681,33.757,231.51,11.897,9,0.952,FALSE,E404675
L26075,L26075,10,CBCMP,CMP02,B,2026-03-02 07:30:00,965.835,34.269,238.67,11.891,5,0.841,FALSE,E489976
L26006,L26006,9,CBCMP,CMP01,B,2026-03-02 07:30:17,962.978,32.702,227.4,11.838,7,1.005,FALSE,E382462
L26006,L26006,9,CBCMP,CMP01,B,2026-03-02 07:30:17,962.978,32.702,227.4,11.838,7,1.005,FALSE,E382462
L26040,L26040,3,PHOTO,PHO01,B,2026-03-02 07:31:06,88.015,32.104,239.12,11.601,6,1.593,FALSE,E973750
L26075,L26075,11,CBCMP,CMP02,B,2026-03-02 07:31:42,981.514,34.425,237.07,11.688,6,1.016,FALSE,E452178
L26075,L26075,12,CBCMP,CMP02,B,2026-03-02 07:33:24,973.412,33.897,233.8,12.278,3,,FALSE,E386862
L26075,L26075,12,CBCMP,CMP02,B,2026-03-02 07:33:24,973.412,33.897,233.8,12.278,3,,FALSE,E386862
L26006,L26006,11,CBCMP,CMP01,B,2026-03-02 07:33:42,952.532,32.116,240.17,11.34,4,1.159,FALSE,E264508
L26040,L26040,5,PHOTO,PHO01,B,2026-03-02 07:34:30,89.546,32.336,238.88,11.933,4,1.192,FALSE,E852521
L26075,L26075,13,CBCMP,CMP02,B,2026-03-02 07:35:05,977.202,33.831,228.49,12.244,4,1.32,FALSE,E703602
L26117,L26117,1,PC,PC01,B,2026-03-02 07:36:42,527.656,32.029,237.72,12.53,2,1.438,FALSE,E299600
L26075,L26075,14,CBCMP,CMP02,B,2026-03-02 07:36:48,975.627,,229.79,11.477,5,0.88,REAL,E602506
L26006,L26006,13,CBCMP,CMP01,B,2026-03-02 07:37:05,978.815,32.883,236.49,12.032,2,0.992,FALSE,E394673
L26040,L26040,7,PHOTO,PHO01,B,2026-03-02 07:37:54,88.949,32.184,230.31,12.695,4,1.082,REAL,E276598
L26075,L26075,15,CBCMP,CMP02,B,2026-03-02 07:38:30,986.705,32.757,243.14,12.632,6,1.754,FALSE,E226974
L26117,L26117,3,PC,PC01,B,2026-03-02 07:40:06,525.746,31.459,235.91,11.628,14,0.475,FALSE,E677283
L26075,L26075,16,CBCMP,CMP02,B,2026-03-02 07:40:12,974.833,32.981,235.52,11.591,5,1.133,FALSE,E116697
L26006,L26006,15,CBCMP,CMP01,B,2026-03-02 07:40:30,955.013,31.424,234.29,11.3,5,0.867,FALSE,E419662
L26040,L26040,9,PHOTO,PHO01,B,2026-03-02 07:41:17,89.76,32.613,234.37,12.59,3,,FALSE,E464445
L26059,L26059,1,ETCH,ETC02,C,2026-03-02 07:41:42,144.741,33.115,235.03,12.71,5,0.893,FALSE,E200469
L26075,L26075,17,CBCMP,CMP02,B,2026-03-02 07:41:54,950.439,32.756,230.09,12.004,8,1.344,FALSE,E190845
L26117,L26117,5,PC,PC01,B,2026-03-02 07:43:30,525.806,32.034,230.27,12.683,6,1.791,FALSE,E666382
L26075,L26075,18,CBCMP,CMP02,B,2026-03-02 07:43:35,968.696,33.145,236.58,12.487,4,0.748,FALSE,E382828
L26006,L26006,17,CBCMP,CMP01,B,2026-03-02 07:43:54,957.63,31.752,233.26,12.394,5,1.884,FALSE,E438512
L26040,L26040,11,PHOTO,PHO01,B,2026-03-02 07:44:42,90.919,31.802,230.2,11.954,5,1.316,FALSE,E548459
L26059,L26059,3,ETCH,ETC02,C,2026-03-02 07:45:06,142.586,33.3,232.22,11.913,4,0.846,FALSE,E677097
L26075,L26075,19,CBCMP,CMP02,B,2026-03-02 07:45:17,968.456,33.959,228.71,11.699,3,0.878,FALSE,E372516
L26117,L26117,7,PC,PC01,B,2026-03-02 07:46:54,524.119,31.684,230.42,11.869,2,1.274,FALSE,E758364
L26075,L26075,20,CBCMP,CMP02,B,2026-03-02 07:47:00,945.154,33.111,236.23,11.82,3,1.225,FALSE,E674812
L26006,L26006,19,CBCMP,CMP01,B,2026-03-02 07:47:17,958.574,31.71,237.78,11.875,5,0.819,FALSE,E487707
L26040,L26040,13,PHOTO,PHO01,B,2026-03-02 07:48:05,89.216,32.047,235.99,11.77,4,1.559,FALSE,E542625
L26059,L26059,5,ETCH,ETC02,C,2026-03-02 07:48:30,145.323,34.265,236.06,11.836,6,1.42,FALSE,E919861
L26075,L26075,21,CBCMP,CMP02,B,2026-03-02 07:48:41,957.72,33.864,234.06,12.184,4,1.07,FALSE,E994375
L26117,L26117,9,PC,PC01,B,2026-03-02 07:50:17,,32.202,233.75,12.722,3,1.385,FALSE,E314765
L26075,L26075,22,CBCMP,CMP02,B,2026-03-02 07:50:24,964.02,33.308,229.42,12.228,4,,FALSE,E692427
L26006,L26006,21,CBCMP,CMP01,B,2026-03-02 07:50:41,958.776,32.223,245.8,11.203,3,1.32,FALSE,E431809
L26040,L26040,15,PHOTO,PHO01,B,2026-03-02 07:51:30,89.897,31.845,235.22,11.336,4,1.567,REAL,E713366
L26059,L26059,7,ETCH,ETC02,C,2026-03-02 07:51:54,142.4,33.522,239.88,11.982,7,0.992,FALSE,E942459
L26075,L26075,23,CBCMP,CMP02,B,2026-03-02 07:52:06,965.955,33.823,234.45,12.542,7,1.007,FALSE,E349978
L26117,L26117,11,PC,PC01,B,2026-03-02 07:53:42,518.189,31.648,237.77,11.84,2,0.932,FALSE,E366318
L26075,L26075,24,CBCMP,CMP02,B,2026-03-02 07:53:48,954.575,33.239,232.61,12.049,3,0.864,FALSE,E149639
L26006,L26006,23,CBCMP,CMP01,B,2026-03-02 07:54:06,965.658,32.395,235.45,12.066,0,1.215,FALSE,E734003
L26040,L26040,17,PHOTO,PHO01,B,2026-03-02 07:54:54,89.217,32.308,239.54,11.91,6,1.007,FALSE,E485298
L26059,L26059,9,ETCH,ETC02,C,2026-03-02 07:55:17,141.718,,235.88,12.232,2,1.356,REAL,E636930
L26075,L26075,25,CBCMP,CMP02,B,2026-03-02 07:55:30,969.572,32.803,231.47,12.24,2,1.507,FALSE,E655653
L26117,L26117,13,PC,PC01,B,2026-03-02 07:57:05,522.102,31.389,234.12,11.962,1,1.089,FALSE,E511120
L26006,L26006,25,CBCMP,CMP01,B,2026-03-02 07:57:30,957.11,32.268,229.57,12.37,5,1.188,FALSE,E293866
L26006,L26006,25,CBCMP,CMP01,B,2026-03-02 07:57:30,957.11,32.268,229.57,12.37,5,1.188,FALSE,E293866
L26040,L26040,19,PHOTO,PHO01,B,2026-03-02 07:58:17,89.114,32.551,234.91,12.419,5,1.177,FALSE,E283864
L26059,L26059,11,ETCH,ETC02,C,2026-03-02 07:58:42,142.539,33.817,234.19,12.516,2,1.462,FALSE,E769976
L26117,L26117,15,PC,PC01,B,2026-03-02 08:00:30,530.967,32.475,232.37,12.205,8,1.022,FALSE,E143585
L26040,L26040,21,PHOTO,PHO01,B,2026-03-02 08:01:41,90.703,32.325,238.69,11.856,4,2.102,FALSE,E322169
L26117,L26117,17,PC,PC01,B,2026-03-02 08:03:54,534.12,32.136,236.5,11.72,7,1.775,FALSE,E877368
L26040,L26040,23,PHOTO,PHO01,B,2026-03-02 08:05:06,92.074,30.721,238.1,12.161,2,1.081,FALSE,E412537
L26037,L26037,1,CBCMP,CMP01,A,2026-03-02 08:06:42,977.077,32.152,231.36,11.519,0,1.013,FALSE,E236539
L26117,L26117,19,PC,PC01,B,2026-03-02 08:07:17,531.891,31.887,,12.156,3,0.949,FALSE,E800232
L26037,L26037,2,CBCMP,CMP01,A,2026-03-02 08:08:24,,33.15,240.35,11.863,4,1.331,FALSE,E533770
L26040,L26040,25,PHOTO,PHO01,B,2026-03-02 08:08:30,92.432,31.796,241.37,11.47,4,1.62,FALSE,E592587
L26037,L26037,3,CBCMP,CMP01,A,2026-03-02 08:10:06,985.37,31.786,236.32,12.072,0,1.054,FALSE,E699845
L26117,L26117,21,PC,PC01,B,2026-03-02 08:10:41,528.948,,240.05,11.839,1,1.206,FALSE,E384988
L26037,L26037,4,CBCMP,CMP01,A,2026-03-02 08:11:48,982.974,31.613,232.12,11.778,3,1.075,FALSE,E504010
L26037,L26037,5,CBCMP,CMP01,A,2026-03-02 08:13:30,983.239,,243.96,12.077,0,0.828,FALSE,E432490
L26117,L26117,23,PC,PC01,B,2026-03-02 08:14:06,534.527,32.655,238.51,12.126,2,1.61,FALSE,E387824
L26117,L26117,23,PC,PC01,B,2026-03-02 08:14:06,534.527,32.655,238.51,12.126,2,1.61,FALSE,E387824
L26037,L26037,6,CBCMP,CMP01,A,2026-03-02 08:15:12,982.795,,234.43,12.871,5,1.361,FALSE,E800062
L26037,L26037,7,CBCMP,CMP01,A,2026-03-02 08:16:54,973.062,31.604,237.03,11.492,6,1.094,FALSE,E456969
L26117,L26117,25,PC,PC01,B,2026-03-02 08:17:30,535.689,32.224,235.13,12.108,5,1.215,REAL,E841302
L26037,L26037,8,CBCMP,CMP01,A,2026-03-02 08:18:36,962.777,33.069,235.41,12.297,4,0.827,REAL,E559702
L26037,L26037,8,CBCMP,CMP01,A,2026-03-02 08:18:36,962.777,33.069,235.41,12.297,4,0.827,REAL,E559702
L26037,L26037,9,CBCMP,CMP01,A,2026-03-02 08:20:17,993.553,31.773,232.77,11.571,2,1.06,FALSE,E968081
L26037,L26037,10,CBCMP,CMP01,A,2026-03-02 08:22:00,989.831,31.875,239.73,12.61,0,1.273,FALSE,E496047
L26037,L26037,11,CBCMP,CMP01,A,2026-03-02 08:23:42,976.61,31.705,235.62,11.74,5,1.007,FALSE,E401069
L26037,L26037,12,CBCMP,CMP01,A,2026-03-02 08:25:24,980.495,33.085,230.64,12.058,6,1.634,FALSE,E103309
L26040,L26040,9,PHOTO,PHO01,B,2026-03-02 08:26:17,88.04080804000166,32.613,234.37,12.59,3,,FALSE,E464445
L26012,L26012,1,PC,PC01,B,2026-03-02 08:30:42,518.619,31.268,228.83,11.843,3,1.126,FALSE,E478458
L26012,L26012,2,PC,PC01,B,2026-03-02 08:32:24,512.178,32.256,235.76,12.493,8,0.821,FALSE,E349413
L26012,L26012,3,PC,PC01,B,2026-03-02 08:34:06,512.94,31.807,235.16,11.329,3,,FALSE,E404622
L26034,L26034,1,RMG,RMG02,A,2026-03-02 08:34:42,309.255,32.149,238.98,12.427,4,1.143,FALSE,E809112
L26051,L26051,1,ETCH,ETC02,A,2026-03-02 08:35:42,144.444,32.042,232.82,0.0,3,1.048,FALSE,E159055
L26012,L26012,4,PC,PC01,B,2026-03-02 08:35:48,517.211,,237.71,11.37,3,1.851,FALSE,E790001
L26034,L26034,2,RMG,RMG02,A,2026-03-02 08:36:24,312.161,33.526,236.51,12.782,6,1.454,FALSE,E570512
L26012,L26012,5,PC,PC01,B,2026-03-02 08:37:30,515.75,32.938,238.09,11.912,2,0.815,FALSE,E959644
L26034,L26034,3,RMG,RMG02,A,2026-03-02 08:38:06,314.06,33.563,232.33,12.267,2,1.411,FALSE,E780851
L26051,L26051,3,ETCH,ETC02,A,2026-03-02 08:39:06,143.944,32.816,235.34,0.0,2,0.872,FALSE,E744788
L26012,L26012,6,PC,PC01,B,2026-03-02 08:39:12,509.162,,235.07,11.86,3,1.101,FALSE,E294595
L26034,L26034,4,RMG,RMG02,A,2026-03-02 08:39:48,310.558,33.58,232.01,11.925,3,1.529,FALSE,E816210
L26047,L26047,1,ETCH,ETC01,B,2026-03-02 08:40:42,142.754,32.588,235.54,11.566,6,,FALSE,E975306
L26012,L26012,7,PC,PC01,B,2026-03-02 08:40:54,504.476,32.078,234.24,12.315,5,0.913,FALSE,E518934
L26034,L26034,5,RMG,RMG02,A,2026-03-02 08:41:30,312.289,32.702,234.61,11.102,4,0.629,FALSE,E398488
L26047,L26047,2,ETCH,ETC01,B,2026-03-02 08:42:24,144.935,32.877,241.44,12.353,5,1.423,FALSE,E422893
L26051,L26051,5,ETCH,ETC02,A,2026-03-02 08:42:30,143.315,33.058,236.59,11.616,2,1.37,FALSE,E874275
L26012,L26012,8,PC,PC01,B,2026-03-02 08:42:36,512.566,31.982,228.7,11.593,5,1.044,FALSE,E493115
L26034,L26034,6,RMG,RMG02,A,2026-03-02 08:43:12,314.157,33.206,226.0,12.118,3,1.072,FALSE,E515987
L26097,L26097,1,PC,PC02,C,2026-03-02 08:43:42,515.093,33.307,228.21,11.261,9,,FALSE,E567093
L26047,L26047,3,ETCH,ETC01,B,2026-03-02 08:44:06,145.37,31.568,242.58,11.939,2,1.507,FALSE,E446241
L26012,L26012,9,PC,PC01,B,2026-03-02 08:44:17,513.424,31.905,238.55,12.386,6,0.991,FALSE,E475645
L26034,L26034,7,RMG,RMG02,A,2026-03-02 08:44:54,308.392,33.709,234.44,11.581,4,1.604,FALSE,E373656
L26097,L26097,2,PC,PC02,C,2026-03-02 08:45:24,513.123,33.316,237.32,11.629,3,1.288,FALSE,E699113
L26047,L26047,4,ETCH,ETC01,B,2026-03-02 08:45:48,144.051,31.774,230.54,11.815,5,,FALSE,E381674
L26051,L26051,7,ETCH,ETC02,A,2026-03-02 08:45:54,141.999,33.039,236.82,12.76,3,1.375,FALSE,E321111
L26012,L26012,10,PC,PC01,B,2026-03-02 08:46:00,509.929,31.998,231.28,12.683,5,0.864,FALSE,E692588
L26034,L26034,8,RMG,RMG02,A,2026-03-02 08:46:36,,32.961,236.7,12.459,0,0.751,FALSE,E856353
L26097,L26097,3,PC,PC02,C,2026-03-02 08:47:06,521.854,,234.71,12.498,4,1.362,FALSE,E175671
L26047,L26047,5,ETCH,ETC01,B,2026-03-02 08:47:30,144.856,32.278,235.16,12.018,4,1.709,REAL,E886994
