ORDER_ID,ORDER_DATE,CUSTOMER,REGION,PRODUCT_FAMILY,QTY,UNIT_PRICE_USD,AMOUNT_USD,PROMISE_DATE,SHIP_DATE,STATUS
SO100034,2025-11-13,CUST_017,Korea,D1B-DDR5-24G,1,13.81,13.81,2025-12-04,2025-11-24,SHIPPED
SO100035,2026-01-12,CUST_036,Europe,V8-NAND-1Tb,2707,35.9,97181.3,2026-02-02,,OPEN
SO100036,2025-11-11,CUST_031,Taiwan,V9-NAND-2Tb,3087,40.28,124344.36,2025-12-02,2025-12-02,SHIPPED
SO100037,2026-05-08,CUST_015,USA,D1B-DDR5-24G,3405,6.38,21723.9,2026-05-29,2026-05-20,SHIPPED
SO100038,2026-02-22,CUST_019,USA,V8-NAND-1Tb,2870,23.5,67445.0,2026-03-15,2026-03-29,SHIPPED
SO100039,2025-12-10,CUST_028,Korea,V9-NAND-2Tb,2674,34.75,92921.5,2025-12-31,2025-12-29,SHIPPED
SO100040,2026-05-22,CUST_020,Japan,V9-NAND-2Tb,2493,38.92,97027.56,2026-06-12,2026-06-19,SHIPPED
SO100041,2025-10-08,CUST_019,USA,D1B-DDR5-24G,2439,10.23,24950.97,2025-10-29,,OPEN
SO100042,2025-10-01,CUST_012,Taiwan,LSI-ISOCELL-HP2,3345,15.4,51513.0,2025-10-22,2025-10-22,SHIPPED
SO100043,2025-09-25,CUST_040,Japan,D1Z-DDR5-16G,588,20.5,12054.0,2025-10-16,,OPEN
SO100044,2026-01-28,CUST_012,Korea,LSI-ISOCELL-HP2,2196,36.45,80044.2,2026-02-18,2026-02-14,SHIPPED
SO100045,2026-05-30,CUST_026,Taiwan,V9-NAND-2Tb,2685,3.89,10444.65,2026-06-20,2026-06-25,SHIPPED
SO100046,2026-03-21,CUST_030,Japan,D1B-DDR5-24G,1957,23.24,45480.68,2026-04-11,2026-04-20,SHIPPED
SO100047,2026-03-29,CUST_006,Europe,V8-NAND-1Tb,1772,33.8,59893.6,2026-04-19,2026-04-14,SHIPPED
SO100048,2025-12-27,CUST_016,Taiwan,V8-NAND-1Tb,3943,29.81,117540.83,2026-01-17,2025-12-29,SHIPPED
SO100049,2026-02-08,CUST_002,Taiwan,V8-NAND-1Tb,2411,12.39,29872.29,2026-03-01,2026-02-26,SHIPPED
SO100050,2026-05-24,CUST_007,Korea,V9-NAND-2Tb,2645,30.24,79984.8,2026-06-14,2026-07-03,SHIPPED
SO100051,2025-10-16,CUST_017,Korea,LSI-ISOCELL-HP2,2760,26.49,73112.4,2025-11-06,2025-11-17,SHIPPED
SO100052,2025-08-28,CUST_019,Japan,V9-NAND-2Tb,1718,18.5,31783.0,2025-09-18,2025-09-30,SHIPPED
SO100053,2025-12-08,CUST_019,Taiwan,D1B-DDR5-24G,2791,2.22,6196.02,2025-12-29,2026-01-12,SHIPPED
SO100054,2026-05-16,CUST_031,Japan,V9-NAND-2Tb,2324,19.8,46015.2,2026-06-06,2026-06-15,SHIPPED
SO100055,2026-05-23,CUST_022,USA,V9-NAND-2Tb,1321,31.09,41069.89,2026-06-13,2026-06-09,SHIPPED
SO100056,2026-03-12,CUST_001,USA,D1Z-DDR5-16G,3074,9.39,28864.86,2026-04-02,2026-03-24,SHIPPED
SO100057,2025-09-09,CUST_016,Taiwan,D1Z-DDR5-16G,3808,28.22,107461.76,2025-09-30,,OPEN
SO100058,2026-01-11,CUST_008,USA,D1B-DDR5-24G,2588,19.06,49327.28,2026-02-01,2026-01-26,SHIPPED
SO100059,2025-10-10,CUST_012,Taiwan,V9-NAND-2Tb,4045,7.6,30742.0,2025-10-31,2025-10-25,SHIPPED
SO100060,2025-11-20,CUST_014,Europe,V9-NAND-2Tb,2691,33.5,90148.5,2025-12-11,2025-12-15,SHIPPED
SO100061,2026-01-22,CUST_039,China,LSI-ISOCELL-HP2,2579,10.82,27904.78,2026-02-12,2026-02-13,SHIPPED
SO100062,2026-01-10,CUST_040,Korea,V9-NAND-2Tb,3766,7.49,28207.34,2026-01-31,2026-01-30,SHIPPED
SO100063,2025-12-07,CUST_009,Japan,LSI-ISOCELL-HP2,1497,40.1,60029.7,2025-12-28,2025-12-13,SHIPPED
SO100064,2026-06-28,CUST_022,Taiwan,V9-NAND-2Tb,3136,3.8,11916.8,2026-07-19,2026-07-28,SHIPPED
SO100065,2026-03-07,CUST_003,Japan,LSI-ISOCELL-HP2,1467,24.64,36146.88,2026-03-28,,OPEN
SO100066,2026-03-13,CUST_028,Japan,V9-NAND-2Tb,4547,26.56,120768.32,2026-04-03,2026-04-09,SHIPPED
SO100067,2025-07-28,CUST_030,Japan,V8-NAND-1Tb,4340,5.82,25258.8,2025-08-18,2025-08-10,SHIPPED
SO100068,2026-02-05,CUST_003,Europe,LSI-ISOCELL-HP2,2535,4.07,10317.45,2026-02-26,,OPEN
SO100069,2025-08-07,CUST_016,Taiwan,V9-NAND-2Tb,2248,33.67,75690.16,2025-08-28,2025-08-24,SHIPPED
SO100070,2026-06-29,CUST_013,Korea,V8-NAND-1Tb,2172,2.55,5538.6,2026-07-20,2026-07-22,SHIPPED
SO100071,2026-07-19,CUST_007,Europe,LSI-ISOCELL-HP2,614,9.09,5581.26,2026-08-09,2026-08-23,SHIPPED
SO100072,2025-07-28,CUST_026,Europe,D1B-DDR5-24G,2922,6.04,17648.88,2025-08-18,2025-08-13,SHIPPED
SO100073,2026-02-24,CUST_028,Korea,D1Z-DDR5-16G,3961,9.53,37748.33,2026-03-17,2026-03-23,SHIPPED
SO100074,2025-12-02,CUST_034,USA,V9-NAND-2Tb,4535,2.88,13060.8,2025-12-23,2025-12-04,SHIPPED
SO100075,2026-03-17,CUST_005,Taiwan,V8-NAND-1Tb,3589,20.13,72246.57,2026-04-07,2026-04-11,SHIPPED
SO100076,2026-06-03,CUST_010,China,LSI-ISOCELL-HP2,3036,25.24,76628.64,2026-06-24,2026-06-26,SHIPPED
SO100077,2025-12-04,CUST_016,Europe,V9-NAND-2Tb,3783,26.22,99190.26,2025-12-25,2026-01-03,SHIPPED
SO100078,2025-08-07,CUST_032,Taiwan,V9-NAND-2Tb,3127,28.75,89901.25,2025-08-28,2025-09-05,SHIPPED
SO100079,2026-05-17,CUST_033,Taiwan,V9-NAND-2Tb,916,33.89,31043.24,2026-06-07,2026-06-02,SHIPPED
SO100080,2025-09-15,CUST_023,Japan,D1B-DDR5-24G,3555,2.88,10238.4,2025-10-06,2025-10-07,SHIPPED
SO100081,2026-02-23,CUST_028,USA,D1B-DDR5-24G,2352,12.01,28247.52,2026-03-16,2026-03-18,SHIPPED
SO100082,2026-03-05,CUST_031,Korea,D1B-DDR5-24G,3676,40.3,148142.8,2026-03-26,2026-04-02,SHIPPED
SO100083,2026-02-13,CUST_013,China,D1B-DDR5-24G,2731,32.59,89003.29,2026-03-06,,OPEN
SO100084,2025-07-14,CUST_033,Korea,D1Z-DDR5-16G,3283,11.62,38148.46,2025-08-04,2025-08-11,SHIPPED
SO100085,2026-07-02,CUST_013,Japan,D1Z-DDR5-16G,5541,9.6,53193.6,2026-07-23,,OPEN
SO100086,2025-12-03,CUST_022,USA,LSI-ISOCELL-HP2,3217,13.09,42110.53,2025-12-24,2025-12-14,SHIPPED
SO100087,2025-09-28,CUST_005,Korea,V8-NAND-1Tb,3408,32.72,111509.76,2025-10-19,,OPEN
SO100088,2025-08-05,CUST_013,Taiwan,V9-NAND-2Tb,2046,16.53,33820.38,2025-08-26,,OPEN
SO100089,2026-02-21,CUST_005,Japan,D1B-DDR5-24G,1897,22.58,42834.26,2026-03-14,2026-03-21,SHIPPED
SO100090,2025-08-19,CUST_004,Japan,LSI-ISOCELL-HP2,2156,28.63,61726.28,2025-09-09,2025-09-03,SHIPPED
SO100091,2026-05-21,CUST_002,Europe,D1B-DDR5-24G,1126,37.81,42574.06,2026-06-11,2026-06-13,SHIPPED
SO100092,2026-05-29,CUST_032,Taiwan,D1B-DDR5-24G,3859,16.7,64445.3,2026-06-19,2026-06-28,SHIPPED
SO100093,2026-01-29,CUST_016,China,V9-NAND-2Tb,6316,26.12,164973.92,2026-02-19,2026-02-24,SHIPPED
SO100094,2025-09-02,CUST_024,Japan,V8-NAND-1Tb,2506,2.27,5688.62,2025-09-23,2025-09-25,SHIPPED
SO100095,2025-07-20,CUST_022,Japan,D1Z-DDR5-16G,2848,15.73,44799.04,2025-08-10,2025-07-31,SHIPPED
SO100096,2025-09-22,CUST_021,Taiwan,LSI-ISOCELL-HP2,4033,13.09,52791.97,2025-10-13,2025-10-21,SHIPPED
SO100097,2026-05-07,CUST_013,Korea,D1Z-DDR5-16G,2819,23.23,65485.37,2026-05-28,2026-05-21,SHIPPED
SO100098,2026-01-12,CUST_009,Korea,D1B-DDR5-24G,1998,22.45,44855.1,2026-02-02,,CANCELLED
SO100099,2025-08-20,CUST_039,Japan,D1Z-DDR5-16G,1890,32.03,60536.7,2025-09-10,2025-09-14,SHIPPED
SO100100,2026-05-21,CUST_015,Korea,V8-NAND-1Tb,2820,19.69,55525.8,2026-06-11,,OPEN
SO100101,2026-01-04,CUST_029,Japan,D1Z-DDR5-16G,2581,20.78,53633.18,2026-01-25,2026-01-28,SHIPPED
SO100102,2026-05-27,CUST_030,China,D1B-DDR5-24G,3222,38.89,125303.58,2026-06-17,,OPEN
SO100103,2026-06-26,CUST_007,Korea,V8-NAND-1Tb,2994,22.67,67873.98,2026-07-17,2026-07-29,SHIPPED
SO100104,2026-02-14,CUST_024,Japan,V8-NAND-1Tb,2114,32.26,68197.64,2026-03-07,2026-03-13,SHIPPED
SO100105,2026-06-12,CUST_018,Taiwan,V9-NAND-2Tb,4910,33.08,162422.8,2026-07-03,2026-07-04,SHIPPED
SO100106,2026-01-14,CUST_008,USA,D1Z-DDR5-16G,2405,25.7,61808.5,2026-02-04,2026-02-14,SHIPPED
SO100107,2026-04-02,CUST_037,China,D1B-DDR5-24G,731,11.51,8413.81,2026-04-23,2026-04-15,SHIPPED
SO100108,2026-06-22,CUST_038,China,D1B-DDR5-24G,2580,38.01,98065.8,2026-07-13,,OPEN
SO100109,2025-11-30,CUST_019,Europe,D1B-DDR5-24G,4249,24.96,106055.04,2025-12-21,2025-12-21,SHIPPED
SO100110,2026-04-14,CUST_024,Europe,V9-NAND-2Tb,2231,41.82,93300.42,2026-05-05,2026-05-27,SHIPPED
SO100111,2026-06-14,CUST_011,Korea,D1Z-DDR5-16G,2089,20.21,42218.69,2026-07-05,,CANCELLED
SO100112,2025-10-17,CUST_035,China,LSI-ISOCELL-HP2,1682,38.77,65211.14,2025-11-07,2025-11-01,SHIPPED
SO100113,2025-07-14,CUST_001,Korea,V8-NAND-1Tb,3193,24.35,77749.55,2025-08-04,2025-07-15,SHIPPED
SO100114,2026-07-23,CUST_002,Taiwan,LSI-ISOCELL-HP2,3961,9.92,39293.12,2026-08-13,2026-08-06,SHIPPED
SO100115,2025-09-02,CUST_032,Europe,LSI-ISOCELL-HP2,1,39.64,39.64,2025-09-23,,OPEN
SO100116,2026-02-16,CUST_021,Europe,D1Z-DDR5-16G,4468,33.62,150214.16,2026-03-09,2026-03-13,SHIPPED
SO100117,2025-09-20,CUST_020,USA,D1Z-DDR5-16G,1584,22.69,35940.96,2025-10-11,2025-10-15,SHIPPED
SO100118,2025-11-23,CUST_037,Korea,D1B-DDR5-24G,4478,33.3,149117.4,2025-12-14,2025-12-14,SHIPPED
SO100119,2026-02-05,CUST_019,USA,D1B-DDR5-24G,1133,34.42,38997.86,2026-02-26,2026-02-17,SHIPPED
SO100120,2025-12-30,CUST_006,Taiwan,D1B-DDR5-24G,3780,16.09,60820.2,2026-01-20,2026-01-18,SHIPPED
SO100121,2026-03-21,CUST_007,Japan,D1Z-DDR5-16G,2558,7.82,20003.56,2026-04-11,2026-04-16,SHIPPED
SO100122,2025-11-11,CUST_013,China,LSI-ISOCELL-HP2,6320,26.34,166468.8,2025-12-02,2025-12-11,SHIPPED
SO100123,2025-12-20,CUST_033,Taiwan,LSI-ISOCELL-HP2,3014,40.57,122277.98,2026-01-10,2026-01-07,SHIPPED
SO100124,2025-10-23,CUST_018,China,V8-NAND-1Tb,2322,25.21,58537.62,2025-11-13,2025-11-22,SHIPPED
SO100125,2025-09-09,CUST_020,China,LSI-ISOCELL-HP2,3506,26.2,91857.2,2025-09-30,2025-09-24,SHIPPED
SO100126,2026-03-27,CUST_027,USA,V9-NAND-2Tb,4312,27.77,119744.24,2026-04-17,2026-04-18,SHIPPED
SO100127,2025-12-05,CUST_014,Japan,V9-NAND-2Tb,3368,36.54,123066.72,2025-12-26,,OPEN
SO100128,2025-09-10,CUST_014,Europe,V9-NAND-2Tb,556,40.24,22373.44,2025-10-01,2025-10-10,SHIPPED
SO100129,2025-09-15,CUST_039,Europe,LSI-ISOCELL-HP2,4058,11.97,48574.26,2025-10-06,2025-10-02,SHIPPED
SO100130,2025-07-03,CUST_028,Korea,LSI-ISOCELL-HP2,5207,23.06,120073.42,2025-07-24,2025-07-21,SHIPPED
SO100131,2026-07-01,CUST_040,China,V8-NAND-1Tb,2938,14.69,43159.22,2026-07-22,2026-07-21,SHIPPED
SO100132,2026-05-01,CUST_023,Korea,D1Z-DDR5-16G,1998,19.76,39480.48,2026-05-22,2026-05-26,SHIPPED
SO100133,2026-08-02,CUST_007,USA,D1B-DDR5-24G,4406,37.36,164608.16,2026-08-23,2026-08-14,SHIPPED
SO100134,2026-04-24,CUST_032,USA,V8-NAND-1Tb,3775,17.0,64175.0,2026-05-15,,OPEN
SO100135,2025-07-16,CUST_018,Taiwan,V8-NAND-1Tb,1737,7.24,12575.88,2025-08-06,2025-08-11,SHIPPED
SO100136,2026-02-07,CUST_029,Europe,V8-NAND-1Tb,2432,7.37,17923.84,2026-02-28,2026-03-10,SHIPPED
SO100137,2026-01-08,CUST_002,Korea,LSI-ISOCELL-HP2,1890,26.82,50689.8,2026-01-29,,CANCELLED
SO100138,2026-03-29,CUST_029,USA,V9-NAND-2Tb,1140,16.64,18969.6,2026-04-19,2026-04-23,SHIPPED
SO100139,2026-04-23,CUST_025,Taiwan,D1B-DDR5-24G,392,33.65,13190.8,2026-05-14,2026-05-10,SHIPPED
SO100140,2026-06-12,CUST_022,Europe,V9-NAND-2Tb,3241,8.32,26965.12,2026-07-03,2026-06-23,SHIPPED
SO100141,2025-07-24,CUST_004,USA,V9-NAND-2Tb,1958,37.28,72994.24,2025-08-14,2025-07-25,SHIPPED
SO100142,2026-08-03,CUST_020,China,LSI-ISOCELL-HP2,1644,34.29,56372.76,2026-08-24,,CANCELLED
SO100143,2026-01-24,CUST_008,Japan,V8-NAND-1Tb,2299,30.21,69452.79,2026-02-14,2026-03-07,SHIPPED
SO100144,2025-07-15,CUST_003,Taiwan,LSI-ISOCELL-HP2,4241,38.76,164381.16,2025-08-05,,OPEN
SO100145,2026-02-14,CUST_034,China,V8-NAND-1Tb,1980,5.65,11187.0,2026-03-07,2026-03-04,SHIPPED
SO100146,2025-08-27,CUST_020,Taiwan,D1Z-DDR5-16G,1339,10.15,13590.85,2025-09-17,,OPEN
SO100147,2025-10-23,CUST_032,Korea,D1B-DDR5-24G,2511,10.53,26440.83,2025-11-13,2025-11-09,SHIPPED
SO100148,2026-04-20,CUST_037,Europe,LSI-ISOCELL-HP2,3590,21.59,77508.1,2026-05-11,2026-05-07,SHIPPED
SO100149,2026-06-06,CUST_010,Europe,V8-NAND-1Tb,3109,33.72,104835.48,2026-06-27,2026-06-22,SHIPPED
SO100150,2025-07-25,CUST_008,Japan,V9-NAND-2Tb,3273,8.98,29391.54,2025-08-15,,OPEN
SO100151,2025-08-22,CUST_011,Korea,LSI-ISOCELL-HP2,5371,30.01,161183.71,2025-09-12,2025-09-08,SHIPPED
SO100152,2026-07-25,CUST_026,USA,V9-NAND-2Tb,2383,8.39,19993.37,2026-08-15,2026-08-10,SHIPPED
SO100153,2026-06-10,CUST_024,Japan,D1Z-DDR5-16G,1928,35.1,67672.8,2026-07-01,2026-07-11,SHIPPED
SO100154,2026-06-01,CUST_021,Taiwan,LSI-ISOCELL-HP2,4416,40.05,176860.8,2026-06-22,2026-06-27,SHIPPED
SO100155,2025-09-09,CUST_003,Taiwan,D1Z-DDR5-16G,2102,10.33,21713.66,2025-09-30,2025-09-28,SHIPPED
SO100156,2025-07-21,CUST_031,USA,D1B-DDR5-24G,1236,35.39,43742.04,2025-08-11,,OPEN
SO100157,2026-03-16,CUST_037,USA,LSI-ISOCELL-HP2,3545,36.15,128151.75,2026-04-06,2026-03-31,SHIPPED
SO100158,2026-01-30,CUST_032,Taiwan,V9-NAND-2Tb,643,9.62,6185.66,2026-02-20,2026-02-23,SHIPPED
SO100159,2025-10-12,CUST_031,Korea,V8-NAND-1Tb,2028,17.84,36179.52,2025-11-02,2025-10-27,SHIPPED
SO100160,2025-10-28,CUST_006,USA,D1Z-DDR5-16G,1640,5.56,9118.4,2025-11-18,2025-11-12,SHIPPED
SO100161,2026-04-27,CUST_006,Taiwan,D1Z-DDR5-16G,3853,22.08,85074.24,2026-05-18,,CANCELLED
SO100162,2025-10-01,CUST_032,Europe,D1Z-DDR5-16G,2700,34.03,91881.0,2025-10-22,2025-10-31,SHIPPED
SO100163,2026-02-13,CUST_004,China,LSI-ISOCELL-HP2,2819,28.33,79862.27,2026-03-06,2026-03-09,SHIPPED
SO100164,2025-08-05,CUST_003,China,D1B-DDR5-24G,1,19.96,19.96,2025-08-26,2025-09-03,SHIPPED
SO100165,2025-11-30,CUST_007,Europe,V8-NAND-1Tb,5543,16.2,89796.6,2025-12-21,2025-12-16,SHIPPED
SO100166,2026-02-04,CUST_038,China,V8-NAND-1Tb,1756,11.22,19702.32,2026-02-25,2026-02-26,SHIPPED
SO100167,2025-10-30,CUST_030,Europe,V8-NAND-1Tb,3128,23.65,73977.2,2025-11-20,,OPEN
SO100168,2026-07-09,CUST_032,Taiwan,V9-NAND-2Tb,2482,39.57,98212.74,2026-07-30,2026-07-11,SHIPPED
SO100169,2026-03-16,CUST_021,Europe,LSI-ISOCELL-HP2,2243,14.9,33420.7,2026-04-06,2026-04-12,SHIPPED
SO100170,2025-07-06,CUST_017,USA,V9-NAND-2Tb,1,37.69,37.69,2025-07-27,2025-07-26,SHIPPED
SO100171,2026-02-02,CUST_008,Europe,LSI-ISOCELL-HP2,2145,17.37,37258.65,2026-02-23,2026-03-07,SHIPPED
SO100172,2025-10-18,CUST_038,USA,D1B-DDR5-24G,3512,3.97,13942.64,2025-11-08,2025-11-18,SHIPPED
SO100173,2026-05-27,CUST_020,Europe,D1Z-DDR5-16G,1216,18.91,22994.56,2026-06-17,2026-06-18,SHIPPED
SO100174,2025-07-03,CUST_037,USA,LSI-ISOCELL-HP2,473,38.29,18111.17,2025-07-24,2025-08-08,SHIPPED
SO100175,2026-06-19,CUST_005,Japan,D1B-DDR5-24G,3465,2.96,10256.4,2026-07-10,2026-07-04,SHIPPED
SO100176,2026-03-10,CUST_026,USA,V8-NAND-1Tb,2980,13.83,41213.4,2026-03-31,2026-04-07,SHIPPED
SO100177,2025-12-08,CUST_016,USA,LSI-ISOCELL-HP2,3621,2.32,8400.72,2025-12-29,2025-12-19,SHIPPED
SO100178,2026-03-31,CUST_031,China,V9-NAND-2Tb,1773,6.69,11861.37,2026-04-21,2026-04-11,SHIPPED
SO100179,2026-02-03,CUST_011,Korea,D1B-DDR5-24G,2206,19.4,42796.4,2026-02-24,2026-03-02,SHIPPED
SO100180,2025-10-18,CUST_004,USA,V8-NAND-1Tb,3621,23.65,85636.65,2025-11-08,2025-11-13,SHIPPED
SO100181,2026-07-25,CUST_019,Japan,V9-NAND-2Tb,3393,34.37,116617.41,2026-08-15,2026-08-13,SHIPPED
SO100182,2026-07-21,CUST_022,USA,V8-NAND-1Tb,21,29.73,624.33,2026-08-11,2026-08-01,SHIPPED
SO100183,2025-12-30,CUST_009,USA,D1Z-DDR5-16G,2063,28.24,58259.12,2026-01-20,2026-01-27,SHIPPED
SO100184,2026-05-03,CUST_007,Europe,V9-NAND-2Tb,1400,6.94,9716.0,2026-05-24,2026-06-02,SHIPPED
SO100185,2026-04-12,CUST_025,Japan,V9-NAND-2Tb,3920,10.88,42649.6,2026-05-03,,OPEN
SO100186,2025-10-08,CUST_031,Korea,V8-NAND-1Tb,1417,38.34,54327.78,2025-10-29,2025-10-25,SHIPPED
SO100187,2026-01-05,CUST_005,Taiwan,LSI-ISOCELL-HP2,3286,2.12,6966.32,2026-01-26,2026-01-16,SHIPPED
SO100188,2026-05-30,CUST_018,China,V8-NAND-1Tb,2839,3.75,10646.25,2026-06-20,2026-06-19,SHIPPED
SO100189,2026-06-20,CUST_013,China,V9-NAND-2Tb,2334,32.36,75528.24,2026-07-11,2026-07-07,SHIPPED
SO100190,2026-06-04,CUST_008,China,V9-NAND-2Tb,3949,28.31,111796.19,2026-06-25,2026-06-17,SHIPPED
SO100191,2026-02-12,CUST_023,Japan,LSI-ISOCELL-HP2,1,9.63,9.63,2026-03-05,2026-02-22,SHIPPED
SO100192,2025-08-17,CUST_004,Europe,D1B-DDR5-24G,2619,18.76,49132.44,2025-09-07,2025-09-02,SHIPPED
SO100193,2025-07-12,CUST_033,China,D1B-DDR5-24G,2818,24.96,70337.28,2025-08-02,2025-08-01,SHIPPED
SO100194,2026-01-31,CUST_024,USA,LSI-ISOCELL-HP2,1952,4.79,9350.08,2026-02-21,2026-02-19,SHIPPED
SO100195,2026-02-22,CUST_040,Korea,V8-NAND-1Tb,4737,2.5,11842.5,2026-03-15,2026-03-13,SHIPPED
SO100196,2026-06-08,CUST_022,Taiwan,D1B-DDR5-24G,2085,6.06,12635.1,2026-06-29,,OPEN
SO100197,2025-08-24,CUST_008,Europe,LSI-ISOCELL-HP2,2865,24.32,69676.8,2025-09-14,2025-09-26,SHIPPED
SO100198,2025-07-07,CUST_037,Japan,V9-NAND-2Tb,2322,34.92,81084.24,2025-07-28,2025-07-23,SHIPPED
SO100199,2026-04-08,CUST_011,Korea,V8-NAND-1Tb,2932,25.19,73857.08,2026-04-29,2026-04-21,SHIPPED
SO100200,2026-06-16,CUST_005,Japan,D1B-DDR5-24G,3076,25.19,77484.44,2026-07-07,2026-07-09,SHIPPED
SO100201,2025-08-31,CUST_040,Japan,LSI-ISOCELL-HP2,2433,13.08,31823.64,2025-09-21,2025-09-25,SHIPPED
SO100202,2026-05-17,CUST_007,USA,D1B-DDR5-24G,2552,9.74,24856.48,2026-06-07,,CANCELLED
SO100203,2026-06-29,CUST_009,Japan,LSI-ISOCELL-HP2,2079,26.94,56008.26,2026-07-20,2026-07-16,SHIPPED
SO100204,2025-11-12,CUST_029,Europe,LSI-ISOCELL-HP2,3230,22.58,72933.4,2025-12-03,2025-11-28,SHIPPED
SO100205,2026-04-30,CUST_005,China,D1B-DDR5-24G,6078,33.47,203430.66,2026-05-21,2026-06-03,SHIPPED
SO100206,2025-09-10,CUST_032,USA,V9-NAND-2Tb,1690,26.95,45545.5,2025-10-01,,OPEN
SO100207,2026-05-12,CUST_026,USA,D1B-DDR5-24G,2138,38.88,83125.44,2026-06-02,2026-06-03,SHIPPED
