EMP_ID,DEPT,JOB_ROLE,GRADE,COURSE,CATEGORY,PLAN_HOURS,DONE_HOURS,SCORE,COMPLETED_DATE
E418045,파운드리사업부,회로설계,CL2,반도체 8대 공정,직무기초,24,21,102.0,2026-04-09
E943074,파운드리사업부,평가및분석,CL3,Spotfire 기초,데이터분석,8,6,85.0,2026-02-09
E555873,반도체연구소,설비기술,CL3,Spotfire 기초,데이터분석,8,4,92.0,2026-02-04
E781575,반도체연구소,평가및분석,CL3,생성형 AI 활용,AI,6,4,88.0,2026-06-01
E589129,반도체연구소,경영지원,CL2,Spotfire 기초,데이터분석,8,4,82.0,2026-02-02
E760461,반도체연구소,패키지개발,CL3,Python 기초,데이터분석,20,20,88.0,2026-05-21
E132827,DS경영지원,SCM/생산관리,CL3,Spotfire 기초,데이터분석,8,4,89.0,2026-06-01
E632984,DS경영지원,반도체공정기술,CL3,Spotfire 데이터함수(Python),데이터분석,16,15,87.0,2026-06-29
E932042,파운드리사업부,품질보증,CL4,반도체 8대 공정,직무기초,24,14,96.0,2026-05-16
E748862,시스템LSI사업부,S/W개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,15,,2026-04-25
E852463,메모리사업부,평가및분석,CL3,정보보호,필수,2,2,75.0,2026-06-06
E536141,시스템LSI사업부,경영지원,CL2,생성형 AI 활용,AI,6,5,92.0,2026-04-13
E812425,DS경영지원,품질보증,CL2,통계적공정관리(SPC),품질,12,11,86.0,2026-03-08
E587146,DS경영지원,설비기술,CL3,반도체 8대 공정,직무기초,24,17,90.0,2026-05-15
E583619,파운드리사업부,경영지원,CL3,통계적공정관리(SPC),품질,12,11,81.0,2026-06-03
E390917,메모리사업부,경영지원,CL3,Spotfire 기초,데이터분석,8,4,80.0,2026-04-09
E378152,시스템LSI사업부,패키지개발,CL2,통계적공정관리(SPC),품질,12,8,,2026-06-22
E277527,메모리사업부,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,10,,2026-07-08
E777647,시스템LSI사업부,평가및분석,CL2,Python 기초,데이터분석,20,8,,2026-05-02
E114160,DS경영지원,설비기술,CL2,생성형 AI 활용,AI,6,5,,2026-05-05
E979094,글로벌인프라총괄,패키지개발,CL2,Spotfire 기초,데이터분석,8,6,84.0,2026-03-21
E757607,시스템LSI사업부,평가및분석,CL2,Spotfire 데이터함수(Python),데이터분석,16,7,80.0,2026-05-16
E231576,DS경영지원,설비기술,CL2,통계적공정관리(SPC),품질,12,12,71.0,2026-02-10
E816265,반도체연구소,SCM/생산관리,CL4,반도체 8대 공정,직무기초,24,23,,2026-07-21
E344693,시스템LSI사업부,평가및분석,CL2,반도체 8대 공정,직무기초,24,24,96.0,2026-06-03
E957641,글로벌인프라총괄,반도체공정기술,CL3,생성형 AI 활용,AI,6,5,93.0,2026-03-19
E281902,메모리사업부,평가및분석,CL4,Python 기초,데이터분석,20,17,80.0,2026-03-04
E721172,파운드리사업부,설비기술,CL2,Python 기초,데이터분석,20,13,88.0,2026-01-30
E173887,글로벌인프라총괄,설비기술,CL2,통계적공정관리(SPC),품질,12,9,93.0,2026-03-05
E116584,글로벌인프라총괄,영업마케팅,CL3,통계적공정관리(SPC),품질,12,6,80.0,2026-05-16
E526638,글로벌인프라총괄,SCM/생산관리,CL3,생성형 AI 활용,AI,6,2,91.0,2026-02-08
E506260,글로벌인프라총괄,평가및분석,CL3,Spotfire 기초,데이터분석,8,6,95.0,2026-07-12
E549681,DS경영지원,설비기술,CL3,Python 기초,데이터분석,20,5,91.0,2026-01-16
E622322,DS경영지원,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,15,94.0,2026-04-02
E424674,반도체연구소,품질보증,CL2,생성형 AI 활용,AI,6,3,93.0,2026-03-20
E321536,반도체연구소,경영지원,CL2,Spotfire 기초,데이터분석,8,4,85.0,2026-03-16
E291697,DS경영지원,품질보증,CL2,생성형 AI 활용,AI,6,3,,2026-07-22
E714071,파운드리사업부,SCM/생산관리,CL4,Spotfire 기초,데이터분석,8,6,82.0,2026-04-26
E314778,파운드리사업부,패키지개발,CL3,생성형 AI 활용,AI,6,5,,2026-03-23
E836659,파운드리사업부,반도체공정기술,CL3,Spotfire 데이터함수(Python),데이터분석,16,15,73.0,2026-02-25
E254861,시스템LSI사업부,품질보증,CL2,Python 기초,데이터분석,20,14,,2026-06-10
E380464,메모리사업부,품질보증,CL2,통계적공정관리(SPC),품질,12,6,,2026-04-28
E954299,글로벌인프라총괄,S/W개발,CL3,정보보호,필수,2,2,87.0,2026-05-13
E108131,시스템LSI사업부,품질보증,CL2,정보보호,필수,2,1,91.0,2026-06-13
E850734,DS경영지원,패키지개발,CL2,Spotfire 데이터함수(Python),데이터분석,16,16,,2026-04-15
E702715,반도체연구소,설비기술,CL2,Spotfire 데이터함수(Python),데이터분석,16,12,82.0,2026-02-22
E292684,파운드리사업부,반도체공정기술,CL2,통계적공정관리(SPC),품질,12,7,89.0,2026-01-31
E645965,DS경영지원,S/W개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,13,95.0,2026-01-13
E955006,시스템LSI사업부,회로설계,CL2,생성형 AI 활용,AI,6,4,84.0,2026-07-10
E236324,글로벌인프라총괄,SCM/생산관리,CL3,Spotfire 기초,데이터분석,8,4,80.0,2026-01-13
E810968,파운드리사업부,경영지원,CL2,정보보호,필수,2,2,,2026-03-14
E300344,반도체연구소,품질보증,CL2,정보보호,필수,2,0,86.0,2026-06-26
E292322,시스템LSI사업부,영업마케팅,CL2,통계적공정관리(SPC),품질,12,12,,2026-06-01
E483881,DS경영지원,회로설계,CL3,생성형 AI 활용,AI,6,3,74.0,2026-05-19
E308206,반도체연구소,설비기술,CL2,Python 기초,데이터분석,20,12,75.0,2026-04-03
E395148,글로벌인프라총괄,설비기술,CL3,Spotfire 데이터함수(Python),데이터분석,16,11,85.0,2026-06-28
E231162,메모리사업부,S/W개발,CL3,생성형 AI 활용,AI,6,4,65.0,2026-07-14
E729724,반도체연구소,평가및분석,CL2,통계적공정관리(SPC),품질,12,8,84.0,2026-03-20
E823438,글로벌인프라총괄,S/W개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,13,85.0,2026-01-16
E583089,글로벌인프라총괄,평가및분석,CL2,반도체 8대 공정,직무기초,24,13,88.0,2026-03-06
E914145,DS경영지원,설비기술,CL3,Spotfire 데이터함수(Python),데이터분석,16,11,93.0,2026-06-21
E818657,시스템LSI사업부,설비기술,CL3,통계적공정관리(SPC),품질,12,12,,2026-07-03
E239348,반도체연구소,반도체공정기술,CL2,생성형 AI 활용,AI,6,6,88.0,2026-04-15
E661735,파운드리사업부,SCM/생산관리,CL3,Python 기초,데이터분석,20,13,,2026-02-08
E661890,파운드리사업부,평가및분석,CL3,Spotfire 기초,데이터분석,8,5,79.0,2026-07-18
E598040,DS경영지원,품질보증,CL3,Spotfire 데이터함수(Python),데이터분석,16,12,83.0,2026-03-11
E600642,글로벌인프라총괄,S/W개발,CL2,반도체 8대 공정,직무기초,24,21,84.0,2026-07-12
E690705,파운드리사업부,평가및분석,CL4,생성형 AI 활용,AI,6,5,93.0,2026-07-22
E469725,메모리사업부,영업마케팅,CL2,반도체 8대 공정,직무기초,24,24,80.0,2026-06-20
E271606,DS경영지원,반도체공정기술,CL3,정보보호,필수,2,1,80.0,2026-07-04
E814717,시스템LSI사업부,반도체공정기술,CL2,Spotfire 기초,데이터분석,8,7,74.0,2026-04-11
E441157,반도체연구소,영업마케팅,CL3,Spotfire 데이터함수(Python),데이터분석,16,13,91.0,2026-06-28
E266751,메모리사업부,설비기술,CL2,생성형 AI 활용,AI,6,5,90.0,2026-01-21
E486739,메모리사업부,품질보증,CL3,Spotfire 기초,데이터분석,8,8,,2026-03-03
E472020,글로벌인프라총괄,반도체공정기술,CL2,정보보호,필수,2,1,80.0,2026-01-13
E139719,메모리사업부,S/W개발,CL3,반도체 8대 공정,직무기초,24,15,74.0,2026-01-10
E434757,파운드리사업부,SCM/생산관리,CL4,반도체 8대 공정,직무기초,24,0,71.0,2026-07-18
E682946,파운드리사업부,영업마케팅,CL2,Python 기초,데이터분석,20,20,88.0,2026-05-06
E232826,DS경영지원,패키지개발,CL2,Spotfire 기초,데이터분석,8,4,,2026-01-27
E657610,DS경영지원,패키지개발,CL4,생성형 AI 활용,AI,6,4,101.0,2026-05-09
E827915,반도체연구소,반도체공정기술,CL2,생성형 AI 활용,AI,6,6,92.0,2026-01-23
E640932,글로벌인프라총괄,경영지원,CL2,정보보호,필수,2,2,80.0,2026-01-25
E373628,시스템LSI사업부,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,11,81.0,2026-06-17
E356222,시스템LSI사업부,영업마케팅,CL3,반도체 8대 공정,직무기초,24,8,98.0,2026-02-21
E204026,반도체연구소,패키지개발,CL4,Spotfire 데이터함수(Python),데이터분석,16,11,85.0,2026-05-22
E604532,반도체연구소,S/W개발,CL2,정보보호,필수,2,1,,2026-02-27
E274113,메모리사업부,품질보증,CL2,Spotfire 기초,데이터분석,8,8,86.0,2026-04-12
E823722,시스템LSI사업부,품질보증,CL2,Spotfire 데이터함수(Python),데이터분석,16,11,99.0,2026-02-11
E881403,메모리사업부,SCM/생산관리,CL4,생성형 AI 활용,AI,6,3,81.0,2026-02-26
E161623,DS경영지원,SCM/생산관리,CL3,반도체 8대 공정,직무기초,24,21,71.0,2026-03-02
E829260,반도체연구소,회로설계,CL4,통계적공정관리(SPC),품질,12,12,75.0,2026-04-09
E898101,파운드리사업부,설비기술,CL2,정보보호,필수,2,0,87.0,2026-05-25
E886441,반도체연구소,반도체공정기술,CL2,통계적공정관리(SPC),품질,12,12,100.0,2026-04-18
E398935,시스템LSI사업부,품질보증,CL2,Spotfire 기초,데이터분석,8,6,87.0,2026-03-30
E736737,반도체연구소,SCM/생산관리,CL4,반도체 8대 공정,직무기초,24,21,91.0,2026-03-23
E219728,글로벌인프라총괄,경영지원,CL2,Spotfire 데이터함수(Python),데이터분석,16,16,103.0,2026-03-30
E503302,반도체연구소,품질보증,CL2,정보보호,필수,2,1,72.0,2026-01-30
E464840,반도체연구소,SCM/생산관리,CL3,정보보호,필수,2,2,83.0,2026-04-15
E798733,DS경영지원,S/W개발,CL2,반도체 8대 공정,직무기초,24,24,76.0,2026-05-28
E448192,파운드리사업부,SCM/생산관리,CL3,Spotfire 데이터함수(Python),데이터분석,16,16,83.0,2026-03-16
E335322,메모리사업부,영업마케팅,CL3,반도체 8대 공정,직무기초,24,24,81.0,2026-03-19
E126867,파운드리사업부,S/W개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,14,82.0,2026-03-31
E712238,메모리사업부,품질보증,CL2,통계적공정관리(SPC),품질,12,12,84.0,2026-01-05
E597952,반도체연구소,품질보증,CL3,통계적공정관리(SPC),품질,12,5,74.0,2026-04-27
E636266,글로벌인프라총괄,평가및분석,CL2,Spotfire 데이터함수(Python),데이터분석,16,12,76.0,2026-01-25
E710716,글로벌인프라총괄,회로설계,CL3,Python 기초,데이터분석,20,9,100.0,2026-02-16
E765228,파운드리사업부,경영지원,CL2,Spotfire 기초,데이터분석,8,3,90.0,2026-05-18
E351763,반도체연구소,회로설계,CL2,Spotfire 데이터함수(Python),데이터분석,16,13,73.0,2026-03-30
E314952,반도체연구소,SCM/생산관리,CL4,생성형 AI 활용,AI,6,3,,2026-02-22
E500494,반도체연구소,품질보증,CL2,Spotfire 기초,데이터분석,8,5,84.0,2026-01-10
E386863,시스템LSI사업부,반도체공정기술,CL2,통계적공정관리(SPC),품질,12,9,88.0,2026-07-06
E776218,반도체연구소,영업마케팅,CL2,반도체 8대 공정,직무기초,24,18,73.0,2026-01-22
E599917,메모리사업부,설비기술,CL3,생성형 AI 활용,AI,6,3,78.0,2026-07-17
E757027,파운드리사업부,경영지원,CL2,Spotfire 기초,데이터분석,8,8,84.0,2026-03-16
E444984,메모리사업부,S/W개발,CL3,반도체 8대 공정,직무기초,24,16,,2026-07-02
E378452,반도체연구소,회로설계,CL3,Spotfire 데이터함수(Python),데이터분석,16,16,77.0,2026-05-22
E930123,파운드리사업부,SCM/생산관리,CL3,반도체 8대 공정,직무기초,24,13,86.0,2026-04-17
E261116,파운드리사업부,회로설계,CL3,Spotfire 데이터함수(Python),데이터분석,16,16,78.0,2026-01-08
E731424,시스템LSI사업부,설비기술,CL2,통계적공정관리(SPC),품질,12,7,81.0,2026-03-19
E908144,DS경영지원,패키지개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,8,,2026-06-10
E495240,파운드리사업부,SCM/생산관리,CL4,Python 기초,데이터분석,20,6,76.0,2026-07-20
E400452,글로벌인프라총괄,SCM/생산관리,CL2,반도체 8대 공정,직무기초,24,24,94.0,2026-06-18
E890687,메모리사업부,품질보증,CL4,Spotfire 기초,데이터분석,8,6,75.0,2026-04-15
E155431,DS경영지원,회로설계,CL3,반도체 8대 공정,직무기초,24,21,84.0,2026-02-08
E841550,파운드리사업부,회로설계,CL3,통계적공정관리(SPC),품질,12,12,88.0,2026-04-12
E720798,DS경영지원,SCM/생산관리,CL3,Python 기초,데이터분석,20,12,90.0,2026-05-05
E969849,글로벌인프라총괄,평가및분석,CL3,생성형 AI 활용,AI,6,6,88.0,2026-04-15
E837798,반도체연구소,SCM/생산관리,CL4,반도체 8대 공정,직무기초,24,9,83.0,2026-06-05
E509927,DS경영지원,S/W개발,CL3,통계적공정관리(SPC),품질,12,11,76.0,2026-01-11
E595718,파운드리사업부,평가및분석,CL3,Spotfire 기초,데이터분석,8,7,72.0,2026-03-02
E696704,글로벌인프라총괄,경영지원,CL2,Python 기초,데이터분석,20,14,95.0,2026-03-08
E211511,DS경영지원,설비기술,CL2,생성형 AI 활용,AI,6,1,88.0,2026-03-17
E465939,글로벌인프라총괄,설비기술,CL3,생성형 AI 활용,AI,6,6,93.0,2026-01-13
E728660,반도체연구소,SCM/생산관리,CL2,통계적공정관리(SPC),품질,12,6,90.0,2026-07-20
E817746,파운드리사업부,S/W개발,CL4,Spotfire 기초,데이터분석,8,6,77.0,2026-03-20
E813190,파운드리사업부,품질보증,CL4,Python 기초,데이터분석,20,15,92.0,2026-02-15
E704818,반도체연구소,반도체공정기술,CL3,반도체 8대 공정,직무기초,24,24,77.0,2026-03-29
E572005,파운드리사업부,S/W개발,CL2,정보보호,필수,2,1,74.0,2026-06-09
E239495,반도체연구소,설비기술,CL3,Spotfire 기초,데이터분석,8,7,75.0,2026-02-02
E486645,글로벌인프라총괄,S/W개발,CL3,Spotfire 기초,데이터분석,8,7,75.0,2026-01-08
E424267,글로벌인프라총괄,패키지개발,CL4,생성형 AI 활용,AI,6,5,,2026-03-14
E717581,글로벌인프라총괄,S/W개발,CL3,Spotfire 데이터함수(Python),데이터분석,16,14,80.0,2026-01-28
E974474,파운드리사업부,설비기술,CL2,Spotfire 데이터함수(Python),데이터분석,16,16,84.0,2026-01-25
E420781,파운드리사업부,패키지개발,CL3,정보보호,필수,2,2,99.0,2026-01-20
E265732,글로벌인프라총괄,회로설계,CL3,통계적공정관리(SPC),품질,12,7,89.0,2026-06-02
E975223,메모리사업부,반도체공정기술,CL2,Python 기초,데이터분석,20,14,,2026-02-22
E594965,반도체연구소,품질보증,CL3,생성형 AI 활용,AI,6,4,77.0,2026-06-05
E607031,글로벌인프라총괄,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,14,79.0,2026-03-28
E162125,DS경영지원,평가및분석,CL3,반도체 8대 공정,직무기초,24,18,91.0,2026-02-23
E873115,파운드리사업부,영업마케팅,CL2,생성형 AI 활용,AI,6,4,,2026-02-28
E586956,반도체연구소,회로설계,CL2,Spotfire 데이터함수(Python),데이터분석,16,15,81.0,2026-03-20
E590639,메모리사업부,설비기술,CL3,반도체 8대 공정,직무기초,24,24,88.0,2026-05-28
E561366,메모리사업부,경영지원,CL2,생성형 AI 활용,AI,6,5,90.0,2026-03-31
E582529,시스템LSI사업부,영업마케팅,CL3,생성형 AI 활용,AI,6,5,84.0,2026-01-20
E400805,파운드리사업부,회로설계,CL3,Spotfire 데이터함수(Python),데이터분석,16,16,100.0,2026-02-26
E565901,시스템LSI사업부,회로설계,CL3,반도체 8대 공정,직무기초,24,13,,2026-04-04
E815772,글로벌인프라총괄,평가및분석,CL3,Spotfire 기초,데이터분석,8,8,92.0,2026-02-10
E732921,반도체연구소,SCM/생산관리,CL3,정보보호,필수,2,1,98.0,2026-03-26
E601999,반도체연구소,SCM/생산관리,CL2,반도체 8대 공정,직무기초,24,14,89.0,2026-07-01
E213351,메모리사업부,패키지개발,CL3,Spotfire 기초,데이터분석,8,8,82.0,2026-04-02
E715551,글로벌인프라총괄,품질보증,CL2,통계적공정관리(SPC),품질,12,10,78.0,2026-02-26
E739561,메모리사업부,회로설계,CL2,Spotfire 데이터함수(Python),데이터분석,16,16,95.0,2026-04-11
E506389,DS경영지원,회로설계,CL4,Spotfire 기초,데이터분석,8,6,97.0,2026-05-08
E956591,반도체연구소,품질보증,CL3,Spotfire 기초,데이터분석,8,6,80.0,2026-04-18
E753337,DS경영지원,S/W개발,CL4,Spotfire 데이터함수(Python),데이터분석,16,10,85.0,2026-04-13
E582110,파운드리사업부,경영지원,CL2,Python 기초,데이터분석,20,16,98.0,2026-04-24
E725807,글로벌인프라총괄,경영지원,CL2,Python 기초,데이터분석,20,15,77.0,2026-07-23
E219964,반도체연구소,경영지원,CL3,Spotfire 데이터함수(Python),데이터분석,16,15,93.0,2026-07-13
E719851,파운드리사업부,SCM/생산관리,CL2,Spotfire 데이터함수(Python),데이터분석,16,11,87.0,2026-03-12
E814380,반도체연구소,SCM/생산관리,CL3,Python 기초,데이터분석,20,14,93.0,2026-05-12
